"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","FifteenMin"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms","WS_ms_Avg","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Smp","Avg","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-09 15:15:00",0,12.61,21.38,12.64,21.71,21.72,21.58,21.67,18.89,16.22,21.15,66.14,56.16,79.41,51,1.68,1.61,0.03,8.66,1.61,36.83,0,402,0,0,0,0,0,0,0,0,56.93,37.41,-7.713,-2.606,20.36,293.5,19.52,-5.107,1.193,49.22,34.81,14.41,413.1,418.2,37.24,73.45,-5.515,-9.15,20.42,293.6,-36.2,3.633,5.091,31.73,64.3,-32.57,415.7,412,84.3,18.13,-11.35,-0.227,20.42,293.6,66.17,-11.13,0.253,72.95,17.91,55.05,409.8,421,18.5,22.16,16.28,16.46,2.014,18.44,23.25,16.16,16.26,2.076
"2023-05-09 15:30:00",1,12.61,20.93,12.63,21.17,21.26,21.03,21.2,16.24,15.72,17.43,80.6,76.32,85.6,354,0.47,1.16,0,5.88,1.16,358.6,0,450,0,0,0,0,0,0,0,0,24.48,20.59,5.901,7.058,17.42,290.6,3.888,-1.157,1.653,30.38,27.65,2.731,410.1,411.2,19.85,18.79,6.666,5.827,17.5,290.7,1.054,0.839,0.897,26.51,24.62,1.893,411.3,410.5,55.63,6.63,1.097,9.6,17.49,290.6,49,-8.5,0.357,56.73,16.23,40.5,405.7,414.2,17.87,19.39,16.08,18.78,1.068,17.82,20.11,15.84,18.99,1.385
"2023-05-09 15:45:00",2,12.6,20.39,12.63,20.73,20.83,20.6,20.77,16.61,15.72,18.03,80.9,73.47,86.7,223,1.09,1.354,0.03,4.21,1.354,301,0,450,0,0,0,0,0,0,0,0,23.07,13.69,1.315,3.686,17.22,290.4,9.38,-2.371,0.731,24.39,17.38,7.01,404.4,406.8,23.58,15.23,1.426,2.774,17.21,290.4,8.35,-1.348,0.777,25,18,7.002,404.5,405.8,54.54,5.973,-4.166,6.291,17.24,290.4,48.56,-10.46,0.202,50.37,12.26,38.1,399,409.5,17.16,19.41,16.18,16.98,0.813,16.86,19.53,15.81,16.61,0.989
