timestamp;step_count;X;Y;Z;Distance;degree;latitude;longitude;GpsAccuracy;indoor_outdoor_flag;TagName;subtrack;gnss_geom;track;curv_absc;geometry;drift;AirTC_Avg;RH_Avg;WindDir;WS_ms_Avg;SR01Up_1_Avg;SR01Dn_1_Avg;Albedo_1_Avg;IR01UpCo_1_Avg;IR01DnCo_1_Avg;SR01Up_2_Avg;SR01Dn_2_Avg;Albedo_2_Avg;IR01UpCo_2_Avg;IR01DnCo_2_Avg;SR01Up_3_Avg;SR01Dn_3_Avg;Albedo_3_Avg;IR01UpCo_3_Avg;IR01DnCo_3_Avg;Temp_C_Avg(1);Temp_C_Avg(2);sensorFamily;timedelta_in_s;T_mrt;T_mrt_SRUp;T_mrt_SRDn;T_mrt_IRUp;T_mrt_IRDn;T_mrt_SRright;T_mrt_SRleft;T_mrt_SRfront;T_mrt_SRback;T_mrt_IRright;T_mrt_IRleft;T_mrt_IRfront;T_mrt_IRback;T_mrt_SRlat;T_mrt_IRlat;PET;UTCI;lat_cor;lon_cor;epoch;sun_alti;sun_azim
2023-05-11 14:43:00.336;5;-0.58;-0.22;-0.0;1.78;257.0;47.20726;-1.557148;13.41;I;601.0;8698267507;POINT (355238.3636841857 6688503.240101001);6.0;0.0;POINT (355249.0142021522 6688503.5321794795);10.654522175610536;20.17;42.99;48.0;0.13;-1.342;9.74;-7.259;417.8;423.9;1.582;0.731;0.462;418.6;418.1;3.548;-1.033;-0.291;420.1;418.6;20.02;20.33;cr1000x;0.336;20.46116210875158;0.007459644940686322;-0.0021718752039822354;1.2239422348183502;1.2195720530706056;0.01219586069690186;0.005635381902297888;-0.010345666912289695;0.07508703109217706;4.471764194592221;4.466422861344977;4.463218061396631;4.528382327013;0.08257260677908712;17.92978744434683;20.265000000000022;19.922097257346024;47.20726815569366;-1.5570077536596951;1683816180;47.41166466193297;210.3754180240299
2023-05-11 14:43:02.534;6;-0.65;0.66;-0.0;2.66;262.0;47.20726;-1.557148;13.41;I;;8698267507;POINT (355238.3636841857 6688503.240101001);6.0;0.001568795042720996;POINT (355247.94719921553 6688503.391807618);9.584715709013812;20.09;42.87;7.0;0.44;-1.339;8.17;-6.102;417.8;423.3;0.866;0.254;0.293;418.5;418.0;2.061;-1.193;-0.579;420.0;418.2;19.94;20.28;cr1000x;0.534;20.33644529759158;0.0043141509763447855;-0.002497225674322819;1.2182609743972175;1.213039855935515;0.0066467090733722195;0.0019494966566241843;-0.0102770709575582;0.06270625072684877;4.4510034886012635;4.44568568276064;4.443558560424392;4.502054424671242;0.06102538549928698;17.842302156457535;18.622999999999976;19.59737672001235;47.20726634000507;-1.5570217193226024;1683816182;47.40630429260956;210.3652710914054
2023-05-11 14:43:04.415;7;-0.82;1.78;-0.0;3.79;266.0;47.20726;-1.557148;13.41;I;;8698267507;POINT (355238.3636841857 6688503.240101001);6.0;0.003137590085441992;POINT (355246.88019627874 6688503.251435752);8.516519635868164;20.06;42.88;7.0;0.49;-1.343;5.294;-3.943;417.8;422.3;0.08;-0.349;-4.362;418.3;417.8;0.898;-1.376;-1.532;419.9;417.8;19.97;20.27;cr1000x;0.415;20.148933255283737;0.0018671575213517078;-0.002861034242071213;1.2098295576186995;1.2037789692143193;0.0006099104004415378;-0.0026607341219262084;-0.010238870847412316;0.04036082074921876;4.419138480170615;4.413856220452505;4.413856220452505;4.461396557915492;0.02807112618032177;17.70824747899112;18.366999999999972;19.45826203925102;47.207264524314795;-1.5570356849845655;1683816184;47.401716649993745;210.35658906174262
2023-05-11 14:43:06.221;8;-0.95;2.74;-0.0;4.77;253.0;47.207262;-1.557153;13.29;I;;8698267507;POINT (355237.9986536404 6688503.483716659);6.0;0.004706385128162988;POINT (355245.8131933421 6688503.111063891);7.823420021680071;20.07;42.89;7.0;0.4;-1.309;3.373;-2.576;417.8;421.8;-0.407;-0.738;1.811;418.2;417.8;0.364;-1.524;-4.19;419.8;417.6;19.91;20.23;cr1000x;0.221;20.040842440025983;0.0007538939342692894;-0.0031564130654571348;1.2048278390818692;1.1985138294439939;-0.0030908270546919497;-0.005604497214650268;-0.009940768094820054;0.02561513428863869;4.400864717599187;4.396655377840603;4.396655377840603;4.438748775426439;0.006979041924476421;17.63292424870683;18.63099999999998;19.53407052534162;47.20726270862286;-1.5570496506455882;1683816186;47.39731153269767;210.34825433834044
2023-05-11 14:43:08.508;9;-1.03;3.72;-0.0;5.75;251.0;47.207262;-1.557153;13.29;I;;8698267507;POINT (355237.9986536404 6688503.483716659);6.0;0.006275180170883984;POINT (355244.74619040557 6688502.970692031);6.7670116496780945;20.05;42.89;1.0;0.45;-1.239;2.253;-1.819;417.9;421.5;-0.609;-0.951;1.563;418.1;417.8;0.158;-1.593;-10.1;419.7;417.6;19.86;20.19;cr1000x;0.508;19.985457020478805;0.00032658200914997853;-0.0032926907631387076;1.2021200285989022;1.1961051321012668;-0.004615554597670267;-0.00720754092345554;-0.009390266250432612;0.017075278339164383;4.3909699178216295;4.387819257751439;4.3888694777748345;4.426677398617117;-0.004138083432394034;17.594336051965023;18.42299999999998;19.448147920153165;47.20726089292923;-1.5570636163056668;1683816188;47.39173256586862;210.33770126930713
2023-05-11 14:43:10.369;10;-1.15;4.81;-0.0;6.84;254.0;47.207262;-1.557153;13.29;I;;8698267507;POINT (355237.9986536404 6688503.483716659);6.0;0.00784397521360498;POINT (355243.67918746895 6688502.830320168);5.7179884184004175;20.28;43.06;5.0;0.49;-1.07;1.648;-1.54;417.9;421.1;-0.582;-1.088;1.868;418.2;417.8;0.146;-1.628;-11.13;419.7;417.6;19.82;20.17;cr1000x;0.369;19.95837024011189;0.00030148072090801245;-0.0033617165317687964;1.2009345871637969;1.1949256221100826;-0.004406574372723964;-0.008237719789559575;-0.008101433984217596;0.012477722622421118;4.387689053983718;4.383492316485886;4.384541500860343;4.418115400843003;-0.008268005524080016;17.57383827217295;18.440999999999974;19.543043079731373;47.20725907723391;-1.5570775819648035;1683816190;47.387192316190585;210.32911519633285
2023-05-11 14:43:12.384;11;-1.3;5.98;-0.0;8.03;251.0;47.207261;-1.55715;13.89;I;;8698267507;POINT (355238.21895337134 6688503.359725754);6.0;0.009412770256325975;POINT (355242.6121845322 6688502.689948304);4.443993909216352;20.23;42.93;356.0;0.54;-0.846;1.265;-1.495;418.0;420.9;-0.184;-1.134;6.162;418.3;417.8;0.255;-1.617;-6.34;419.7;417.8;19.81;20.12;cr1000x;0.384;19.966745892373922;0.0005267195597826032;-0.003340021679092037;1.201301250776111;1.195862908206479;-0.001393569135947698;-0.008588627174808095;-0.0064073885272377855;0.009580787809640424;4.390078186955858;4.384830663423757;4.386929672836597;4.417365309322784;-0.006808797028353153;17.579203832538994;18.26399999999997;19.444342203508953;47.207257261536895;-1.557091547622997;1683816192;47.38227597932077;210.3198201064584
2023-05-11 14:43:14.356;12;-1.48;7.02;-0.0;9.08;256.0;47.207261;-1.55715;13.89;I;;8698267507;POINT (355238.21895337134 6688503.359725754);6.0;0.010981565299046972;POINT (355241.5451815956 6688502.549576442);3.4234684325105995;20.17;42.96;356.0;0.42;-0.605;1.011;-1.669;418.0;420.8;0.548;-1.127;-2.057;418.5;417.9;0.443;-1.6;-3.61;419.6;417.8;19.8;20.09;cr1000x;0.356;19.995128819142735;0.0009159920453477813;-0.0033083234143486463;1.2022565442150637;1.1970991043209092;0.004154702821186175;-0.008544434451600035;-0.004586852567185467;0.0076649718106190185;4.39671750976648;4.390413972118069;4.391464561726138;4.4208810707520545;-0.0013116123869803074;17.59947711436274;18.60699999999998;19.56257306309121;47.207255445838214;-1.557105513280249;1683816194;47.37746412783268;210.31072477818861
2023-05-11 14:43:16.472;13;-1.59;8.05;-0.0;10.11;283.0;47.207256;-1.557154;14.74;I;;8698267507;POINT (355237.88464246696 6688502.822728058);6.0;0.012550360341767968;POINT (355240.4781786588 6688502.409204578);2.6262961842119714;20.16;42.96;10.0;0.5;0.33;0.478;1.447;418.3;420.6;1.187;-1.136;-0.957;418.6;418.1;0.685;-1.583;-2.312;419.7;417.9;19.8;20.08;cr1000x;0.472;20.04325992096858;0.0014188533110064514;-0.0032788975055813314;1.2046464079051622;1.199479947256534;0.009015069431538314;-0.008627732834227063;0.002506295629661031;0.003630331245387796;4.405460130124781;4.4001979942789555;4.4023028486172855;4.426508673508081;0.00652396347236008;17.6344696465291;18.361999999999966;19.47779865774863;47.207253630137835;-1.5571194789365579;1683816196;47.372300418020316;210.30096680729125
2023-05-11 14:43:18.544;14;-1.07;8.98;-0.0;11.18;305.0;47.207256;-1.557154;14.74;I;;8698267507;POINT (355237.88464246696 6688502.822728058);6.0;0.014119155384488965;POINT (355239.49439894466 6688502.80377206);1.6098680837813377;20.16;42.96;349.0;0.4;1.801;0.144;0.08;418.6;420.6;1.855;-1.121;-0.604;418.7;418.3;1.187;-1.538;-1.296;419.8;418.2;19.8;20.07;cr1000x;0.544;20.125209321825196;0.0024659496711274833;-0.003195139506481946;1.2085082462163173;1.2039022119286893;0.014130217084907692;-0.008539069192550687;0.013718879229066715;0.0010969009489092765;4.419585858026434;4.415363659929443;4.418530308502188;4.439641298987148;0.020406928070333;17.693121125445213;18.723999999999982;19.619731430870672;47.20725666554959;-1.5571327545983975;1683816198;47.36724352323324;210.29141313088297
