timestamp;step_count;X;Y;Z;Distance;degree;latitude;longitude;GpsAccuracy;indoor_outdoor_flag;TagName;gnss_geom;track;curv_absc;geometry;drift;AirTC_Avg;RH_Avg;WindDir;WS_ms_Avg;SR01Up_1_Avg;SR01Dn_1_Avg;Albedo_1_Avg;IR01UpCo_1_Avg;IR01DnCo_1_Avg;SR01Up_2_Avg;SR01Dn_2_Avg;Albedo_2_Avg;IR01UpCo_2_Avg;IR01DnCo_2_Avg;SR01Up_3_Avg;SR01Dn_3_Avg;Albedo_3_Avg;IR01UpCo_3_Avg;IR01DnCo_3_Avg;Temp_C_Avg(1);Temp_C_Avg(2);sensorFamily;timedelta_in_s;T_mrt;T_mrt_SRUp;T_mrt_SRDn;T_mrt_IRUp;T_mrt_IRDn;T_mrt_SRright;T_mrt_SRleft;T_mrt_SRfront;T_mrt_SRback;T_mrt_IRright;T_mrt_IRleft;T_mrt_IRfront;T_mrt_IRback;T_mrt_SRlat;T_mrt_IRlat;PET;UTCI;lat_cor;lon_cor;epoch;sun_alti;sun_azim
2023-05-09 15:22:16.603;126;28.75;-11.53;-4.3;146.65;96.0;47.206708;-1.557099;7.47;I;508.0;POINT (355238.52991749893 6688441.813527856);5;0.0;POINT (355238.36255334894 6688440.797429158);1.029789942626138;15.82;81.3;157.0;2.72;1.506;0.769;0.511;403.0;403.8;3.611;-1.063;-0.294;402.8;403.4;-0.321;-0.618;1.925;404.0;403.4;16.96;16.59;cr1000x;0.603;17.39097184225733;-0.0005982653385398894;-0.0011518005583104414;1.04338327043619;1.0418336913216806;0.024676736772734114;-0.0072642955384703296;0.010291654826845078;0.005255167703747586;3.814375078092963;3.8200568681794964;3.816269008121808;3.823844728237186;0.032959263764856445;15.274545682631452;11.477000000000004;10.953216233827265;47.20669878065499;-1.5571004330627503;1683645736;41.017680956435505;200.83887609407785
2023-05-09 15:22:18.758;127;29.71;-11.78;-4.3;147.64;131.0;47.206703;-1.557099;7.45;I;;POINT (355238.4978826826 6688441.259065658);5;0.019474671121174614;POINT (355239.52922442893 6688440.226893196);1.4591250092390742;15.82;81.5;129.0;1.97;2.221;0.534;0.24;402.9;403.9;3.426;-0.803;-0.234;402.7;403.4;-0.401;-0.653;1.626;403.9;403.4;16.88;16.58;cr1000x;0.758;17.400883179110963;-0.0007476896375829928;-0.0012175594347673174;1.0435770904210104;1.0422852148448516;0.023422636477101133;-0.005489894072128492;0.015184377003981793;0.003650813741614713;3.8150808264735083;3.8217124544311236;3.816975577318541;3.8264493315437056;0.03676793315056915;15.280218189766881;12.064000000000007;13.274094184271926;47.2066942586504;-1.5570846113373378;1683645738;41.0119882003851;200.83039509729883
2023-05-09 15:22:20.611;128;30.71;-12.36;-4.3;148.8;109.0;47.206696;-1.557096;7.62;I;;POINT (355238.6797431008 6688440.469720156);5;0.03894934224234923;POINT (355240.6958955088 6688439.656357231);2.1740353675614816;16.02;81.5;111.0;1.97;3.007;0.29;0.096;402.8;404.2;3.131;-0.47;-0.15;402.9;403.2;-0.505;-0.648;1.282;404.1;403.7;16.89;16.56;cr1000x;0.611;17.429963058398073;-0.0009428002415897171;-0.0012097713991091816;1.045420113996075;1.0443853007181774;0.021432992158806233;-0.003217344718824315;0.020584160786180247;0.001985170145657556;3.8218241385954017;3.82466987510962;3.820875559757329;3.8341556634903484;0.04078497837181972;15.301525236952699;12.240000000000004;13.463545870451904;47.20668973664362;-1.5570687896145852;1683645740;41.00709304312135;200.82310362423001
2023-05-09 15:22:22.947;129;31.67;-12.97;-4.22;149.94;117.0;47.20669;-1.557103;7.83;I;;POINT (355238.1123132467 6688439.834928539);5;0.05842401336352385;POINT (355241.86256658885 6688439.085821269);3.824338090472223;16.02;81.5;220.0;0.78;4.028;0.077;0.019;402.7;404.3;2.979;-0.021;-0.007;403.1;403.1;-0.57;-0.732;1.285;404.2;403.9;16.95;16.57;cr1000x;0.947;17.467510772751154;-0.0010658921366584076;-0.0013688299018139551;1.0473899588676905;1.046612578888323;0.020425859313543487;-0.00014398893775911825;0.02761844958541563;0.0005279594384501003;3.829978407236704;3.829978407236704;3.8261778828931297;3.8413799802674258;0.048428279399650095;15.327514677633964;14.02200000000001;16.965342005103814;47.2066852146347;-1.5570529678944922;1683645742;41.000921466012734;200.81391256192722
2023-05-09 15:22:24.518;130;32.71;-13.65;-4.22;151.18;122.0;47.206685;-1.557096;7.97;I;;POINT (355238.6092665516 6688439.249903325);5;0.07789868448469846;POINT (355243.02923766896 6688438.515285308);4.480603565278702;15.92;81.4;103.0;1.18;5.045;-0.152;-0.03;402.7;404.4;3.043;0.324;0.106;403.2;403.0;-0.525;-0.682;1.298;404.4;404.1;16.85;16.61;cr1000x;0.518;17.510641043776616;-0.0009835828277950096;-0.0012777209305832316;1.0498722957646063;1.049093458749944;0.020903789203036417;0.0022257074274675648;0.03465646287522797;-0.0010441590400465117;3.838108808255178;3.8362049844415598;3.833349248721131;3.8495317511368894;0.056741800465685444;15.35719479255476;13.158000000000005;15.832440370446335;47.206680692623614;-1.5570371461770565;1683645744;40.99677083682146;200.80773225911355
2023-05-09 15:22:26.236;131;33.76;-14.43;-4.22;152.48;136.0;47.206679;-1.557092;8.02;I;;POINT (355238.8731037749 6688438.567084128);5;0.09737335560587308;POINT (355244.1787666457 6688437.914708886);5.345619884987849;15.92;81.3;34.0;0.53;5.903;-0.37;-0.063;402.7;404.5;3.528;0.579;0.164;403.4;403.1;-0.273;-0.486;1.781;404.6;404.4;16.8;16.59;cr1000x;0.236;17.57462971444056;-0.0005128803067121316;-0.0009130396668941241;1.0533020980264602;1.0527814346067734;0.024302636071897924;0.003988442824724744;0.04066282900578612;-0.002548745846542583;3.8506530975305777;3.8477894487223;3.8439712503112626;3.8611531431609287;0.06640516205586622;15.403566939725069;14.713000000000005;17.474717532894104;47.20667589171296;-1.5570215276553283;1683645746;40.99223149232199;200.8009741236305
2023-05-09 15:22:28.123;132;34.79;-14.98;-4.22;153.66;131.0;47.206677;-1.557092;8.11;I;;POINT (355238.86028986814 6688438.345299249);5;0.1168480267270477;POINT (355245.2634720226 6688437.200533183);6.504708375603018;15.81;81.3;68.0;0.66;7.174;-0.473;-0.066;402.8;404.5;4.358;0.942;0.216;403.7;403.2;0.119;-0.183;-1.534;404.9;404.8;16.76;16.5;cr1000x;0.123;17.674512306894428;0.0002245250820854129;-0.0003452780674086602;1.0586182420683334;1.0583567902920756;0.03014925317930119;0.0065168876766640025;0.04963073481145176;-0.0032722801179002896;3.8700963427618746;3.865303060197146;3.861468434145363;3.8777655948654406;0.08302459554951666;15.474633431969824;14.260000000000003;17.158538949822187;47.2066700361378;-1.5570066775198448;1683645748;40.98724554875335;200.79355225702952
2023-05-09 15:22:30.414;133;35.65;-15.53;-4.22;154.68;115.0;47.206671;-1.55708;8.48;I;;POINT (355239.72868522 6688437.627551009);5;0.1363226978482223;POINT (355246.34817739914 6688436.486357476);6.717142204198781;15.81;81.2;78.0;0.53;8.33;-0.431;-0.052;402.9;404.7;5.869;1.228;0.209;403.9;403.4;0.803;0.234;0.292;405.7;406.0;16.78;16.54;cr1000x;0.414;17.81730086606308;0.0015243167245282262;0.0004441969035362453;1.0671817048334251;1.067970845852528;0.0408502961472884;0.008547310217902566;0.057979718334795094;-0.002999910996674272;3.8956384819689633;3.8908159535188904;3.885993425068817;3.9033545274890797;0.10437741370331179;15.57580238804575;14.727000000000004;17.479354650054304;47.20666418056071;-1.5569918273875945;1683645750;40.981191732223806;200.78454243428044
2023-05-09 15:22:31.761;134;36.8;-16.02;-4.22;155.93;100.0;47.206669;-1.557076;8.54;I;;POINT (355240.0181503841 6688437.388301622);5;0.15579736896939692;POINT (355247.43288277567 6688435.772181767);7.5888141247954835;15.82;81.2;105.0;0.25;8.97;0.14;0.016;403.1;404.9;8.1;1.306;0.161;404.3;403.7;1.933;0.68;0.352;405.2;406.2;16.79;16.6;cr1000x;-0.239;17.969515468413192;0.0036929841115687905;0.0012991356419383227;1.0727257757353068;1.07537317399724;0.05674165965524732;0.009148716976512717;0.06283613421081094;0.000980720043424028;3.924591430098413;3.91876715392216;3.912942877745907;3.930415706274666;0.12970723088599498;15.686717168041145;16.094000000000015;18.00875019284817;47.20665832498171;-1.5569769772585755;1683645751;40.97763218389497;200.77924563753288
2023-05-09 15:22:34.237;135;37.98;-16.17;-4.22;157.11;79.0;47.206673;-1.557046;8.71;I;;POINT (355242.3108707446 6688437.70088808);5;0.17527204009057154;POINT (355248.5983698444 6688435.298350295);6.7308864746480745;15.82;81.2;106.0;0.33;9.97;0.775;0.078;403.4;405.3;10.17;1.956;0.192;404.6;404.0;3.391;1.253;0.37;405.3;407.5;16.83;16.56;cr1000x;0.237;18.174696474721486;0.0065340167450421306;0.0024143683224823916;1.082188093340611;1.0880622946861558;0.07185298862359807;0.013819512856220042;0.0704399504992402;0.005475522731886775;3.9611697740124385;3.9552955726668935;3.9494213713213484;3.968023008915574;0.16158797471094508;15.833909726916254;15.729000000000003;17.964183205097612;47.20665467150079;-1.5569612448576706;1683645754;40.971088795659355;200.7695103440338
2023-05-09 15:22:35.681;136;39.06;-16.25;-4.22;158.2;96.0;47.206675;-1.557034;8.76;I;;POINT (355243.23052155715 6688437.870279889);5;0.19474671121174617;POINT (355249.8942267468 6688435.212399255);7.174210501482715;15.81;81.2;53.0;0.61;11.9;1.227;0.103;403.3;405.5;12.33;3.177;0.258;405.1;404.6;5.926;2.113;0.357;405.0;409.3;16.8;16.62;cr1000x;-0.31899999999999995;18.426875668210016;0.011537070266230047;0.0041137073021505375;1.0926035519233581;1.1042040340795813;0.0880173720445934;0.02267892870930034;0.08494782865617692;0.008758906366481436;4.007202212119898;4.002256270115307;3.9893968209033694;4.0111589657235704;0.20440303577655208;16.010014268862147;14.685000000000004;17.52118071050431;47.20665457188479;-1.5569440885948256;1683645755;40.96727263545533;200.7638336022801
2023-05-09 15:22:38.196;137;40.28;-16.33;-4.22;159.42;72.0;47.206676;-1.557012;8.95;I;;POINT (355244.899462983 6688437.885118716);5;0.21422138233292076;POINT (355251.1900836493 6688435.126448215);6.868927958802658;15.81;81.2;132.0;0.8;11.57;2.826;0.244;402.9;406.1;14.35;2.732;0.19;404.9;405.1;9.85;2.691;0.273;404.3;410.9;16.78;16.63;cr1000x;0.196;18.570922615514576;0.019288297430803552;0.0052695236940398325;1.0970719204837796;1.1149810836675365;0.1030341031963567;0.019615970030135647;0.0830734894760869;0.020290897256648364;4.02856676283511;4.030556669855528;4.008667692630936;4.040506204957616;0.22601445995922761;16.10829733027919;14.191000000000008;17.128284922721914;47.20665447226626;-1.5569269323320443;1683645758;40.96062553925131;200.75394739015815
2023-05-09 15:22:39.862;138;41.31;-15.89;-4.22;160.54;48.0;47.206703;-1.556961;9.14;I;;POINT (355248.9265032353 6688440.656546901);5;0.2336960534540954;POINT (355251.79429677833 6688435.953076661);5.508799515951696;15.81;81.2;290.0;1.13;6.839;6.798;0.994;403.6;406.3;13.42;3.221;0.24;404.0;405.1;10.99;2.473;0.225;403.6;410.6;16.81;16.62;cr1000x;-0.138;18.533512989570966;0.02148831732567614;0.00483536021350292;1.0935271449972186;1.1124931757578245;0.09621187150792573;0.023092283019897828;0.049030774161155304;0.04873683327204763;4.0135733666729765;4.024501412968373;4.009599531656469;4.036422918017897;0.21707176196102648;16.084097229315713;13.467000000000004;16.22736812961374;47.20666221553657;-1.5569195933643736;1683645759;40.95622208133688;200.74739932376997
2023-05-09 15:22:41.749;139;40.75;-14.72;-4.22;161.85;326.0;47.206713;-1.55694;8.97;I;;POINT (355250.5775347245 6688441.673785388);5;0.25317072457527;POINT (355252.0618357261 6688437.223925041);4.690885477874477;15.82;81.1;340.0;0.97;3.177;9.72;3.059;403.7;405.8;10.13;4.791;0.473;404.0;405.0;8.97;1.955;0.218;403.8;409.7;16.74;16.59;cr1000x;-0.251;18.41752119722645;0.017456675545507182;0.0038046600547900268;1.0889529252615904;1.104863827339459;0.07228529751155205;0.03418744919820788;0.022670324797058328;0.06935963394000848;3.9948050188727984;4.004693150107633;3.9918385795023483;4.012603655095499;0.19850270544682674;16.003940403578277;13.752000000000006;16.63842422788147;47.20667377652169;-1.5569170331994178;1683645761;40.951234371426324;200.73998359961817
2023-05-09 15:22:43.618;140;39.78;-14.02;-4.22;163.04;195.0;47.206714;-1.556865;8.83;I;;POINT (355256.2516693959 6688441.457231212);5;0.2726453956964446;POINT (355252.3002689802 6688438.490905635);4.940916177223533;15.82;81.3;332.0;1.77;1.329;9.99;7.515;403.5;405.7;7.252;5.4;0.745;404.1;404.7;6.509;1.462;0.225;404.0;408.5;16.7;16.54;cr1000x;-0.382;18.25574849297334;0.012583920145663317;0.0028265004229466534;1.0823226360605185;1.0943782099770343;0.051408023652371286;0.03827955429161679;0.009421023639547908;0.07081717543949105;3.969498638244729;3.9753924743816915;3.9636048021077652;3.985215534609964;0.16992577702302705;15.89371144934415;12.487000000000004;14.183522744459273;47.20668528763064;-1.5569148539550166;1683645763;40.946293850295184;200.73263923150643
2023-05-09 15:22:45.860;141;39.09;-13.65;-4.22;163.83;359.0;47.206715;-1.556815;6.98;I;;POINT (355260.0365614207 6688441.349828915);5;0.2921200668176192;POINT (355251.7101162609 6688439.647777479);8.49862742385112;15.9;81.2;326.0;2.45;0.502;9.5;18.91;403.4;405.5;5.155;5.431;1.054;404.2;404.4;4.402;0.991;0.225;404.3;407.5;16.67;16.49;cr1000x;-0.14;18.11297017738144;0.008460443152797668;0.0019046567842849816;1.0767639552397659;1.0852864500623411;0.036328140919233066;0.03827315874536465;0.0035376773504277397;0.06694807734873214;3.947157966680722;3.949111038410895;3.9393456797600277;3.9598529329268497;0.1450870543637576;15.795467617778495;11.895000000000003;12.070146420105024;47.20669537885944;-1.5569235188560682;1683645765;40.94036724933351;200.72383056725286
2023-05-09 15:22:47.795;142;38.2;-12.79;-4.22;165.06;333.0;47.206716;-1.556796;5.37;I;;POINT (355261.4787924428 6688441.377769996);5;0.31159473793879383;POINT (355251.1199635415 6688440.80464932);10.374671248409685;15.92;81.2;339.0;2.4;0.157;8.62;54.85;403.2;405.0;3.443;5.419;1.574;404.3;404.0;2.725;0.503;0.184;404.4;406.6;16.63;16.48;cr1000x;-0.20499999999999996;17.96476062470441;0.005205057518793558;0.0009607867640195082;1.070394496871356;1.0762176123340588;0.024113901334467086;0.03795330564376333;0.001099588297854003;0.06037230017516882;3.9238093026178547;3.9208977448865037;3.913133590936233;3.9306029373243416;0.12353909545125323;15.688443575764932;11.916000000000002;12.194137113034172;47.20670547008756;-1.5569321837603696;1683645767;40.93525176418365;200.7162288338053
2023-05-09 15:22:49.364;143;37.06;-12.15;-4.22;166.37;84.0;47.206719;-1.55677;5.29;I;;POINT (355263.4628243949 6688441.596935545);5;0.33106940905996846;POINT (355250.0220691484 6688441.36619923);13.44273561604978;15.93;81.1;334.0;2.48;0.086;7.559;87.4;403.0;404.5;2.146;4.981;2.321;404.1;403.5;1.537;0.063;0.041;404.4;405.7;16.63;16.5;cr1000x;-0.636;17.805990735904288;0.002916253634980068;0.00011953414378903338;1.0632521432162483;1.066670114992166;0.014929751313671547;0.034652885038862054;0.0005983031747324105;0.05258806625351501;3.895699061828673;3.889914801900196;3.885094585293133;3.8995552351143234;0.10276900578078102;15.570263684136323;11.829;11.904556358566156;47.2067099470617;-1.5569470915476589;1683645769;40.93110366644586;200.71006559614773
2023-05-09 15:22:51.153;144;35.86;-11.48;-4.22;167.74;20.0;47.206722;-1.556758;5.39;I;;POINT (355264.3888803249 6688441.877223085);5;0.3505440801811431;POINT (355248.78656561853 6688441.766403828);15.602708261773245;15.82;81.1;337.0;2.45;0.085;6.432;75.68;402.9;404.1;1.151;4.535;3.94;403.9;403.2;0.646;-0.333;-0.516;404.2;405.0;16.8;16.54;cr1000x;-0.847;17.6738658888915;0.001218816704292035;-0.0006282754837914051;1.0567588246762394;1.0588503809843566;0.007962558458741723;0.03137289540433859;0.0005880256029479118;0.044496243272481986;3.87190646722255;3.8651960574006736;3.8623201674770122;3.873823727171658;0.0844197227385102;15.473246419271893;11.726000000000004;11.846213062118505;47.206712902447784;-1.5569636912943423;1683645771;40.9263737492097;200.7030389131237
