timestamp;step_count;X;Y;Z;Distance;degree;latitude;longitude;GpsAccuracy;indoor_outdoor_flag;TagName;subtrack;gnss_geom;track;curv_absc;geometry;drift;AirTC_Avg;RH_Avg;WindDir;WS_ms_Avg;SR01Up_1_Avg;SR01Dn_1_Avg;Albedo_1_Avg;IR01UpCo_1_Avg;IR01DnCo_1_Avg;SR01Up_2_Avg;SR01Dn_2_Avg;Albedo_2_Avg;IR01UpCo_2_Avg;IR01DnCo_2_Avg;SR01Up_3_Avg;SR01Dn_3_Avg;Albedo_3_Avg;IR01UpCo_3_Avg;IR01DnCo_3_Avg;Temp_C_Avg(1);Temp_C_Avg(2);sensorFamily;timedelta_in_s;T_mrt;T_mrt_SRUp;T_mrt_SRDn;T_mrt_IRUp;T_mrt_IRDn;T_mrt_SRright;T_mrt_SRleft;T_mrt_SRfront;T_mrt_SRback;T_mrt_IRright;T_mrt_IRleft;T_mrt_IRfront;T_mrt_IRback;T_mrt_SRlat;T_mrt_IRlat;PET;UTCI;lat_cor;lon_cor;epoch;sun_alti;sun_azim
2023-05-11 11:22:41.080;4;-0.45;0.51;-0.0;1.13;280.0;47.206746;-1.556743;13.06;I;201.0;9340607170;POINT (355265.67618098954 6688444.473155219);2.0;3.3864295118950845e-12;POINT (355242.34644065914 6688445.75367181);23.364856229524367;14.81;60.41;356.0;0.44;2.796;1.302;0.466;405.5;407.6;1.747;-0.041;-0.024;404.1;406.5;2.858;-0.247;-0.086;408.0;403.3;17.1;17.52;cr1000x;-0.92;17.910473894131144;0.005446667579508926;-0.00047072319528995964;1.077463341630737;1.0650513864697948;0.012207675632776187;-0.0002864995426123776;0.0195378712474197;0.009098107426373552;3.9129348855251553;3.9361742909328767;3.9264912053463257;3.9468256850780827;0.04055715476395707;15.722426066882438;14.300000000000002;16.288813267599366;47.2067453948418;-1.5570516670339065;1683804161;59.009091936201045;293.03600813524474
2023-05-11 11:22:43.162;5;-0.93;1.29;-0.0;2.05;294.0;47.206746;-1.556692;15.04;I;;9340607170;POINT (355269.5302342126 6688444.250500674);2.0;0.0017426422310476027;POINT (355242.2033100053 6688447.170930727);27.482534423099597;14.82;60.41;357.0;0.44;2.949;1.551;0.526;405.2;407.4;3.072;0.064;0.021;403.8;406.4;3.742;-0.046;-0.012;408.1;403.2;17.02;17.49;cr1000x;-0.838;17.935475099072733;0.007138862635393254;-8.77572638236477e-05;1.078861092715457;1.0659073574684443;0.021489083037164517;0.00044768922994092744;0.020628680298371796;0.010849468681849663;3.914142940148262;3.939345445458775;3.9277135199308457;3.9490387167320495;0.05341492124732691;15.730240622269935;14.316000000000004;16.303354945830165;47.206758058480055;-1.5570546346977947;1683804163;59.01140251243609;293.0206182763735
2023-05-11 11:22:44.834;6;-1.42;2.18;-0.0;3.06;251.0;47.206787;-1.556674;16.0;I;;9340607170;POINT (355271.15314935433 6688448.718508852);2.0;0.0034852844587087758;POINT (355242.06017935125 6688448.588189639);29.09326187780303;14.82;60.41;357.0;0.44;2.949;1.551;0.526;405.2;407.4;3.072;0.064;0.021;403.8;406.4;3.742;-0.046;-0.012;408.1;403.2;17.02;17.49;cr1000x;0.834;17.935475099072733;0.007138862635393254;-8.77572638236477e-05;1.078861092715457;1.0659073574684443;0.021489083037164517;0.00044768922994092744;0.020628680298371796;0.010849468681849663;3.914142940148262;3.939345445458775;3.9277135199308457;3.9490387167320495;0.05341492124732691;15.730240622269935;14.316000000000004;16.303354945830165;47.206770722118144;-1.557057602363079;1683804164;59.0132570454814;293.00825757744343
2023-05-11 11:22:46.610;7;-2.04;3.31;-0.0;4.36;234.0;47.20681;-1.556683;14.4;I;;9340607170;POINT (355270.6203695369 6688451.308327438);2.0;0.005227926686369949;POINT (355241.9170486975 6688450.005448555);28.73287525799848;14.82;60.4;2.0;0.71;2.832;2.068;0.73;405.0;407.2;3.894;0.146;0.037;403.7;406.2;4.299;0.138;0.032;408.3;403.4;16.96;17.5;cr1000x;0.61;17.954979004650056;0.008208207177256968;0.000263487459981731;1.0802740374039808;1.0673096906411115;0.027261405461008373;0.0010221276829242994;0.01982647669891518;0.014477808549914054;3.9163792292430877;3.9406322589015166;3.928990804665471;3.9503334707648876;0.06258781839276191;15.736335763574964;13.382000000000007;15.703742509641943;47.20678338575612;-1.5570605700297604;1683804166;59.01522586110269;292.99512700422736
2023-05-11 11:22:48.287;8;-2.77;4.42;-0.0;5.68;227.0;47.206818;-1.556775;12.56;I;;9340607170;POINT (355263.7192201967 6688452.597119072);2.0;0.0069705689140311215;POINT (355241.77391804365 6688451.422707468);21.976704238770612;14.85;60.38;0.0;0.74;2.676;2.353;0.879;404.6;407.0;4.439;0.272;0.061;403.8;406.0;4.557;0.251;0.055;408.4;403.5;16.93;17.55;cr1000x;0.287;17.95517100570021;0.008700884254537288;0.00047924554485162584;1.0805473198741142;1.0675828686807176;0.031077132416414396;0.001904253214071799;0.018734491179618142;0.01647319048790788;3.9173809054985647;3.938723743517625;3.9251419375054963;3.9484250335262896;0.0681890672980122;15.729671620047977;13.319000000000003;15.646496990011611;47.20679604939393;-1.5570635376978372;1683804168;59.01708402778394;292.98272664843034
2023-05-11 11:22:50.223;9;-3.41;5.52;-0.0;6.95;233.0;47.206823;-1.556771;10.63;I;;9340607170;POINT (355264.0535309786 6688453.134118137);2.0;0.008713211141692297;POINT (355241.63078738993 6688452.839966387);22.424672914046855;14.85;60.38;359.0;0.68;2.489;2.477;0.995;404.4;406.7;4.53;0.353;0.078;403.7;405.6;4.574;0.322;0.07;408.5;403.4;16.93;17.55;cr1000x;0.223;17.919617062806026;0.008720309198423416;0.0006138914652147661;1.0791988626176796;1.0657253884454636;0.031666885829867285;0.002467640330671777;0.01739931100011913;0.017315425209841338;3.9105658010822766;3.9289707429253693;3.9173465691297316;3.9396262355713696;0.06884926237049953;15.696509348708748;13.478000000000003;15.783744610477267;47.20680871303164;-1.557066505367313;1683804170;59.019227926184676;292.9684101401652
2023-05-11 11:22:51.889;10;-4.12;6.69;-0.0;8.33;243.0;47.206828;-1.556761;10.0;I;;9340607170;POINT (355264.84125902515 6688453.644922341);2.0;0.010455853369353469;POINT (355241.487656736 6688454.257225301);23.361627828452857;14.91;60.38;359.0;0.74;2.302;2.553;1.109;404.3;406.6;4.008;0.355;0.089;403.8;405.3;4.197;0.24;0.057;408.3;403.2;16.85;17.5;cr1000x;-0.11099999999999999;17.878117116584576;0.007987584145238447;0.00045675963661120494;1.0767863740446686;1.063336434030885;0.02796891508182612;0.0024772866402316047;0.016063982664262406;0.017815528992989542;3.9047021930211527;3.919207030290919;3.909537138777741;3.9317778892580506;0.06432571337930967;15.665224251347864;13.336000000000006;15.658083671346528;47.206821376669176;-1.5570694730381847;1683804171;59.021071857946204;292.95608872601764
2023-05-11 11:22:53.381;11;-4.89;7.8;-0.0;9.68;240.0;47.206831;-1.556756;9.38;I;;9340607170;POINT (355265.238326239 6688453.95577072);2.0;0.012198495597014641;POINT (355241.34452608216 6688455.674484217);23.955535101898544;15.0;60.43;5.0;0.66;2.55;2.483;0.974;404.3;406.6;3.409;0.422;0.124;403.7;404.9;3.414;0.223;0.065;408.2;403.0;16.91;17.53;cr1000x;-0.619;17.838963768555118;0.0064866664329685025;0.00042370433935324435;1.0747432926603107;1.0610522953015806;0.02374960989746982;0.002939963442866607;0.01776518194149253;0.017298410494402335;3.897282818648246;3.9088675087210176;3.903075163684632;3.925279152990778;0.0617531657762313;15.634504644044675;13.617000000000004;15.899546158588652;47.206834040306596;-1.5570724407104535;1683804173;59.02272240640266;292.9450532253562
2023-05-11 11:22:54.902;12;-5.63;8.97;-0.0;11.06;196.0;47.206847;-1.556753;7.85;I;;9340607170;POINT (355265.5675385306 6688455.71695288);2.0;0.013941137824675815;POINT (355241.2013954283 6688457.091743132);24.404896597182155;15.0;60.43;5.0;0.66;2.55;2.483;0.974;404.3;406.6;3.409;0.422;0.124;403.7;404.9;3.414;0.223;0.065;408.2;403.0;16.91;17.53;cr1000x;0.902;17.838963768555118;0.0064866664329685025;0.00042370433935324435;1.0747432926603107;1.0610522953015806;0.02374960989746982;0.002939963442866607;0.01776518194149253;0.017298410494402335;3.897282818648246;3.9088675087210176;3.903075163684632;3.925279152990778;0.0617531657762313;15.634504644044675;13.617000000000004;15.899546158588652;47.20684670394388;-1.5570754083841185;1683804174;59.02440427466377;292.9338021885317
2023-05-11 11:22:56.615;13;-6.28;10.11;-0.0;12.37;216.0;47.206856;-1.556753;7.21;I;;9340607170;POINT (355265.6251968299 6688456.714985144);2.0;0.01568378005233699;POINT (355241.0582647744 6688458.509002044);24.632349609001082;15.0;60.45;4.0;0.79;2.793;2.199;0.787;404.4;406.4;3.403;0.492;0.145;403.7;404.7;3.672;0.424;0.116;408.3;403.0;16.91;17.53;cr1000x;0.615;17.8324365507803;0.006974944442331779;0.0008053857417071553;1.0747096643829535;1.060759232785526;0.023701261375254676;0.0034266883916030857;0.019452724954771176;0.015315625555152814;3.8962063896035444;3.9058576315891855;3.9029622589934934;3.9222647429647766;0.06189630027678175;15.627291023150999;13.253000000000007;15.574331954640087;47.20685936758101;-1.55707837605918;1683804176;59.02629746342528;292.92113008561273
