timestamp;step_count;X;Y;Z;Distance;degree;latitude;longitude;GpsAccuracy;indoor_outdoor_flag;TagName;subtrack;gnss_geom;track;curv_absc;geometry;drift;AirTC_Avg;RH_Avg;WindDir;WS_ms_Avg;SR01Up_1_Avg;SR01Dn_1_Avg;Albedo_1_Avg;IR01UpCo_1_Avg;IR01DnCo_1_Avg;SR01Up_2_Avg;SR01Dn_2_Avg;Albedo_2_Avg;IR01UpCo_2_Avg;IR01DnCo_2_Avg;SR01Up_3_Avg;SR01Dn_3_Avg;Albedo_3_Avg;IR01UpCo_3_Avg;IR01DnCo_3_Avg;Temp_C_Avg(1);Temp_C_Avg(2);sensorFamily;timedelta_in_s;T_mrt;T_mrt_SRUp;T_mrt_SRDn;T_mrt_IRUp;T_mrt_IRDn;T_mrt_SRright;T_mrt_SRleft;T_mrt_SRfront;T_mrt_SRback;T_mrt_IRright;T_mrt_IRleft;T_mrt_IRfront;T_mrt_IRback;T_mrt_SRlat;T_mrt_IRlat;PET;UTCI;lat_cor;lon_cor;epoch;sun_alti;sun_azim
2023-05-10 11:02:28.571;23;-7.0;7.36;-0.0;17.51;242.0;47.207138;-1.557397;19.42;I;301.0;9435259951;POINT (355218.76532275404 6688490.798423706);3.0;1.0;POINT (355220.56579458114 6688491.292732024);1.8670938684020435;18.69;53.33;42.0;0.62;-4.046;-3.084;0.762;405.1;407.8;-3.609;-2.827;0.783;405.2;405.5;-2.739;-3.426;1.251;406.7;406.3;16.85;17.27;cr1000x;0.571;17.30504133459823;-0.005085615186797043;-0.006361196652050627;1.0464038520712704;1.0453746867385225;-0.02457026132416403;-0.01924636430130554;-0.027545380248702598;-0.020996033783242413;3.8226631009360434;3.8254933056010993;3.821719699381025;3.8471915413665316;-0.09235803965741457;15.3170676472847;16.09099999999997;17.893393665690656;47.207143377721906;-1.5573736304579024;1683716548;57.18393303755242;301.4973994525183
2023-05-10 11:02:30.560;24;-8.17;6.84;-0.0;18.78;237.0;47.207122;-1.557414;17.14;I;;9435259951;POINT (355217.3781298449 6688489.098373627);3.0;0.9986866606409384;POINT (355219.29317636276 6688491.159232891);2.813279947484401;18.64;53.33;3.0;0.95;-4.049;-3.015;0.745;404.7;407.6;-3.475;-2.771;0.797;405.5;405.7;-2.263;-3.353;1.481;407.6;406.2;16.83;17.17;cr1000x;0.56;17.321308859168198;-0.0042048140077230595;-0.006230111077284764;1.0494701874007206;1.045865530231042;-0.02367491757920371;-0.018878617730064308;-0.027585537058473615;-0.020540971655050123;3.82823173936941;3.830119893124956;3.820679124347226;3.848057353802643;-0.09068004402279177;15.327088110644235;15.407000000000004;17.207916806789452;47.207141516980926;-1.5573903131516558;1683716550;57.18687857160026;301.483878946946
2023-05-10 11:02:32.311;25;-9.37;6.33;-0.0;20.09;237.0;47.207122;-1.557414;17.14;I;;9435259951;POINT (355217.3781298449 6688489.098373627);3.0;0.9973733212818766;POINT (355218.0205581442 6688491.025733757);2.0316080284732805;18.63;53.36;355.0;1.06;-3.91;-2.893;0.74;404.3;407.5;-3.276;-2.758;0.842;406.3;405.6;-1.845;-3.369;1.825;407.8;406.3;16.83;17.08;cr1000x;0.311;17.349100633726607;-0.003432327067255517;-0.00626748503500479;1.0512674321997646;1.047400582890545;-0.02234640256470096;-0.018812997030966193;-0.026671072658113786;-0.01973386526852255;3.840468803931999;3.833852195114002;3.821564207309149;3.851811561905709;-0.0875643375223035;15.34769676826086;15.236000000000004;16.958516234468682;47.20713965623752;-1.557406995844256;1683716552;57.18947068404634;301.4719748196645
2023-05-10 11:02:34.152;26;-10.59;5.88;-0.0;21.39;240.0;47.207122;-1.557416;18.09;I;;9435259951;POINT (355217.22699163604 6688489.107106452);3.0;0.996059981922815;POINT (355216.7479399255 6688490.892234619);1.8482892414871432;18.64;53.41;351.0;0.97;-3.873;-2.885;0.745;403.6;407.5;-3.18;-2.807;0.883;406.5;405.5;-1.078;-3.39;3.145;408.7;406.2;16.86;17.11;cr1000x;0.152;17.342429080443594;-0.0020048593613189907;-0.006304706154797197;1.0532791417200362;1.0468362793410295;-0.021685213499980923;-0.019141633425926556;-0.026410953423089974;-0.019673534889133634;3.8412345503638714;3.8317850188746614;3.8138309090451625;3.8506840818530814;-0.08691133523813108;15.337534560136776;15.381000000000007;17.173366829419333;47.20713779549172;-1.5574236785357018;1683716554;57.19219514523039;301.45945693769
2023-05-10 11:02:36.091;27;-11.75;5.7;-0.0;22.57;265.0;47.207122;-1.557416;18.09;I;;9435259951;POINT (355217.22699163604 6688489.107106452);3.0;0.9947466425637532;POINT (355215.47532170697 6688490.758735485);2.407535255729798;18.74;53.46;3.0;1.31;-3.907;-2.742;0.702;402.9;407.5;-2.955;-2.618;0.886;406.2;405.4;-1.162;-3.105;2.673;407.6;405.9;16.48;16.63;cr1000x;0.091;17.300283463900257;-0.0021570818554494447;-0.00576397518173023;1.0484998369224956;1.0441268003111899;-0.02011358167280098;-0.017819748500640595;-0.02659349021848847;-0.01866377020196964;3.8312945463993255;3.8237489145994252;3.8001688152247373;3.8435561980741633;-0.08319059059389969;15.29876847429765;14.978000000000003;16.413817484803666;47.2071359347435;-1.557440361225994;1683716556;57.195063535272084;301.446271159527
2023-05-10 11:02:37.979;28;-12.94;5.65;-0.0;23.75;266.0;47.207122;-1.557416;18.09;I;;9435259951;POINT (355217.22699163604 6688489.107106452);3.0;0.9934333032046916;POINT (355214.2027034886 6688490.625236353);3.3839381189319138;18.76;53.47;6.0;2.36;-3.873;-2.73;0.705;402.6;407.4;-2.673;-2.396;0.896;405.6;404.8;-1.195;-2.687;2.248;406.6;405.6;16.37;16.37;cr1000x;-0.02100000000000002;17.241601520567258;-0.002212604537375243;-0.004975119993244583;1.0432225400476636;1.0406568181095237;-0.018147060310305236;-0.016266500749529123;-0.026293888732440023;-0.01853403466035664;3.8157416664015873;3.808215548716377;3.787518725082049;3.83267543119331;-0.07924148445263102;15.244151371393322;14.098000000000006;13.584942662263648;47.207134073992904;-1.557457043915133;1683716557;57.19785542234054;301.4334305533613
2023-05-10 11:02:39.864;29;-14.2;5.71;-0.0;25.02;247.0;47.207118;-1.557416;20.0;I;;9435259951;POINT (355217.2013619982 6688488.6635367265);3.0;0.9921199638456298;POINT (355212.93008527 6688490.491737217);4.646086732360607;18.71;53.47;1.0;2.1;-4.146;-2.892;0.698;400.4;406.9;-2.608;-2.346;0.899;403.5;402.8;-1.522;-2.774;1.822;404.4;403.9;16.18;16.08;cr1000x;-0.136;16.91718827473818;-0.0027774286531456866;-0.00506214657281612;1.0226172169252414;1.0213528534028313;-0.01745047595300996;-0.015697398997607883;-0.027741439149225184;-0.019350757843598465;3.7412516628113126;3.734761263396275;3.7125084654018576;3.7727764599700695;-0.0802400719434415;14.961297851579515;14.147000000000006;14.13921826665214;47.20713221323989;-1.5574737266031167;1683716559;57.2006418877715;301.4206084733901
2023-05-10 11:02:41.622;30;-15.49;5.61;-0.0;26.31;251.0;47.207117;-1.557412;22.3;I;;9435259951;POINT (355217.4972310348 6688488.535178648);3.0;0.9908066244865682;POINT (355211.65746705147 6688490.358238082);6.117711098484458;18.71;53.52;13.0;1.55;-4.013;-2.939;0.732;397.8;405.2;-2.667;-2.356;0.883;400.7;399.6;-1.838;-2.914;1.585;401.2;401.5;16.06;15.89;cr1000x;-0.378;16.44287035017436;-0.0032814528972680782;-0.0052024775531225136;0.9925566106889742;0.9932988015743348;-0.017458829098141747;-0.015422947639753265;-0.02627007168010605;-0.019239407093902736;3.6348386282268126;3.624860284101409;3.6085320846234747;3.6756591269216483;-0.0783912555119038;14.543890123873345;14.465000000000005;15.489239593176112;47.20713035248447;-1.5574904092899482;1683716561;57.2032397363911;301.40864854963615
2023-05-10 11:02:43.709;31;-16.74;5.63;-0.0;27.56;252.0;47.207119;-1.557412;25.72;I;;9435259951;POINT (355217.51004584256 6688488.756963512);3.0;0.9894932851275066;POINT (355210.3848488329 6688490.224738947);7.274805643888742;18.7;53.4;23.0;1.19;-3.968;-2.988;0.753;396.1;402.3;-2.768;-2.453;0.886;398.5;397.4;-2.08;-3.097;1.489;398.8;399.4;15.94;15.8;cr1000x;-0.29100000000000004;16.024315873551302;-0.0036399755144429467;-0.005419713542418177;0.9670834945776455;0.9685384847901495;-0.01776121385637161;-0.015739977452918916;-0.02546116206000092;-0.019172871027036985;3.5433053313951097;3.5335245638554995;3.5219654749450515;3.5770934374410355;-0.07813522439632843;14.175888807636696;14.719000000000005;16.269723766419737;47.207128491726635;-1.5575070919756246;1683716563;57.20632252055558;301.3944488521304
2023-05-10 11:02:45.645;32;-18.01;5.87;-0.0;28.85;276.0;47.207121;-1.557408;35.8;I;;9435259951;POINT (355217.8251370746 6688488.961282744);3.0;0.9881799457684448;POINT (355209.11223061447 6688490.091239813);8.785871724635092;18.61;53.43;17.0;1.06;-4.051;-2.987;0.737;395.4;400.4;-2.842;-2.518;0.886;397.1;395.9;-2.262;-3.307;1.462;397.5;398.3;15.88;15.74;cr1000x;-0.355;15.767595721073917;-0.003908918408386177;-0.005714762677512418;0.9518638469833904;0.953779547807508;-0.018007752325813246;-0.01595479252512236;-0.025668333804317194;-0.01892651519957923;3.4866553207615496;3.4761189662289036;3.4717288185069672;3.515630295726327;-0.07855739385483203;13.950133401223749;14.737000000000005;16.432312843639682;47.207126630966414;-1.5575237746601478;1683716565;57.209181204712316;301.3812743571243
