timestamp;step_count;X;Y;Z;Distance;degree;latitude;longitude;GpsAccuracy;indoor_outdoor_flag;TagName;gnss_geom;track;curv_absc;geometry;drift;AirTC_Avg;RH_Avg;WindDir;WS_ms_Avg;SR01Up_1_Avg;SR01Dn_1_Avg;Albedo_1_Avg;IR01UpCo_1_Avg;IR01DnCo_1_Avg;SR01Up_2_Avg;SR01Dn_2_Avg;Albedo_2_Avg;IR01UpCo_2_Avg;IR01DnCo_2_Avg;SR01Up_3_Avg;SR01Dn_3_Avg;Albedo_3_Avg;IR01UpCo_3_Avg;IR01DnCo_3_Avg;Temp_C_Avg(1);Temp_C_Avg(2);sensorFamily;timedelta_in_s;T_mrt;T_mrt_SRUp;T_mrt_SRDn;T_mrt_IRUp;T_mrt_IRDn;T_mrt_SRright;T_mrt_SRleft;T_mrt_SRfront;T_mrt_SRback;T_mrt_IRright;T_mrt_IRleft;T_mrt_IRfront;T_mrt_IRback;T_mrt_SRlat;T_mrt_IRlat;PET;UTCI;lat_cor;lon_cor;epoch;sun_alti;sun_azim
2023-05-10 14:20:30.509;4;0.36;0.11;-0.0;1.31;193.0;47.208132;-1.560537;4.4;I;401.0;POINT (354987.85199794406 6688614.740465381);4.0;0.0;POINT (354987.75823171245 6688618.3039179435);3.5646859988065343;17.1;58.13;158.0;1.16;191.0;139.4;0.73;415.7;418.0;658.0;134.8;0.205;413.1;423.5;1035.0;149.4;0.144;356.1;449.4;23.47;19.52;cr1000x;0.509;53.484289175671506;3.7137612457983344;0.536073362436977;1.7705952632711157;2.2345001721820816;8.657070498257115;1.7735153543541933;2.5129186400715944;1.8340359079894255;7.531369405438807;7.72097541322521;7.578770907385407;7.620703005261246;14.77754040067233;30.45181873131067;26.94900000000003;27.05368810229069;47.208163978577836;-1.5605409541660586;1683728430;50.3801906692715;217.18929829828096
2023-05-10 14:20:32.849;5;1.34;0.85;-0.0;2.54;211.0;47.208134;-1.560523;4.4;I;;POINT (354988.9227666867 6688614.901079466);4.0;0.002559829546335443;POINT (354989.0976916841 6688617.847183261);2.9512923167927743;17.09;58.16;167.0;1.37;201.5;139.3;0.691;415.3;418.6;650.2;134.0;0.206;412.2;424.5;1032.0;144.7;0.14;356.8;448.6;23.64;19.69;cr1000x;0.849;53.485854405149325;3.7030341092853996;0.5192141817961214;1.7740937058239754;2.2305449451587314;8.554535063446718;1.763007841436266;2.6510901496224446;1.8327387485975513;7.515037071138892;7.739284902228189;7.571554817185788;7.631718869429259;14.80137180310298;30.457595659982122;25.839000000000027;26.447247528213904;47.2081605696524;-1.5605229395724871;1683728432;50.374921667012735;217.1773040226082
2023-05-10 14:20:34.653;6;2.47;1.53;-0.0;3.86;211.0;47.208134;-1.5605;4.4;I;;POINT (354990.6608194609 6688614.80058571);4.0;0.005119659092670886;POINT (354990.4371516559 6688617.390448584);2.5995032183775098;17.09;58.2;173.0;1.69;209.4;138.9;0.663;414.8;419.1;641.8;131.0;0.204;411.1;425.3;1028.0;139.4;0.136;357.5;447.3;23.57;19.65;cr1000x;0.653;53.34356921145536;3.685285652717718;0.4997362062148346;1.775937926933278;2.22203366354477;8.436245023040385;1.7219509162017614;2.752492533226327;1.8257937577131653;7.4880828898694425;7.746732311022802;7.555477457353064;7.633800873617814;14.736482230181638;30.424093531863125;24.551000000000016;25.440447793564964;47.20815716072417;-1.560504924981199;1683728434;50.370858977384515;217.16805860855362
2023-05-10 14:20:36.356;7;3.56;2.22;-0.0;5.16;204.0;47.208133;-1.560493;4.28;I;;POINT (354991.183380317 6688614.65910853);4.0;0.007679488639006329;POINT (354991.77661162766 6688616.933713903);2.3506920228225394;17.1;58.24;212.0;2.69;208.5;137.5;0.659;413.8;419.4;634.5;126.9;0.2;410.2;425.6;1025.0;133.3;0.13;357.8;445.2;23.19;19.61;cr1000x;0.356;52.967536487082214;3.6654856628970287;0.47669194035529167;1.7730528879150107;2.2061574781994486;8.319758433882866;1.6639516867765733;2.73391589198515;1.8029421350021972;7.453297224566901;7.733113843919242;7.518708901818099;7.620460399764403;14.520568147646786;30.325580370068646;21.78600000000003;22.29881756577041;47.20815375179312;-1.5604869103921923;1683728436;50.367023343826524;217.1593321624339
2023-05-10 14:20:38.108;8;4.62;2.98;-0.0;6.45;207.0;47.20813;-1.56047;4.0;I;;POINT (354992.9021980592 6688614.225938755);4.0;0.010239318185341772;POINT (354993.1160715993 6688616.476979221);2.261177806213554;17.1;58.4;246.0;1.95;204.9;134.8;0.658;412.9;419.6;628.0;123.2;0.196;409.3;425.3;1020.0;127.3;0.125;357.7;443.1;23.23;19.91;cr1000x;0.108;52.503059337473246;3.636290985943685;0.4538233750104227;1.7670591696104962;2.188940223803218;8.208986317287248;1.6104253412257785;2.678377860528913;1.762056298678855;7.413876152583486;7.703692957961781;7.479084933793602;7.600445721045763;14.259845817720795;30.197099765384632;23.435000000000016;24.403253756104174;47.20815034285927;-1.5604688958054693;1683728438;50.363076876471894;217.15035584725132
2023-05-10 14:20:39.825;9;5.68;3.66;-0.0;7.72;198.0;47.208128;-1.560448;4.0;I;;POINT (354994.551860169 6688613.908030935);4.0;0.012799147731677216;POINT (354994.455531571 6688616.020244539);2.114409022921561;17.2;58.48;154.0;1.07;209.9;131.6;0.627;411.7;419.7;623.9;120.8;0.194;409.1;424.7;1015.0;124.5;0.123;357.2;442.3;23.17;19.9;cr1000x;-0.17500000000000004;52.301162378368474;3.613504272254982;0.4432327900450692;1.7621694782097046;2.1819920498660483;8.144209678180202;1.5768881697774781;2.7399737320885156;1.7178682379363914;7.400092262870001;7.682276177073795;7.4471229152373;7.59183261482899;14.178939817982586;30.121323970010085;27.02500000000002;27.02618676093861;47.2081469339226;-1.5604508812210274;1683728439;50.35920879958657;217.14156008465076
2023-05-10 14:20:41.626;10;6.75;4.33;-0.0;8.98;205.0;47.208125;-1.560427;4.22;I;;POINT (354996.1195432609 6688613.483600556);4.0;0.015358977278012657;POINT (354995.79499154293 6688615.563509861);2.1050787470365493;17.31;58.5;144.0;1.65;213.4;129.3;0.606;411.1;420.0;620.8;121.4;0.196;409.0;424.1;1010.0;122.8;0.122;356.6;442.0;23.23;19.41;cr1000x;-0.374;52.20256472698344;3.593277625782549;0.4368856360852446;1.7580225138803895;2.1790408052022774;8.098275330344512;1.5836511357986853;2.7837821448059263;1.6867058637460464;7.393291540426129;7.666246802676581;7.43125220603712;7.592133122197981;14.152414474695169;30.08292367133781;24.448000000000015;25.381688379405123;47.20814352498316;-1.5604328666388685;1683728441;50.355150986493264;217.1323352681266
2023-05-10 14:20:43.330;11;7.46;4.91;-0.0;9.9;197.0;47.208124;-1.560423;4.67;I;;POINT (354996.4154017434 6688613.355231478);4.0;0.0179188068243481;POINT (354997.1344515146 6688615.106775181);1.8933932270096305;17.13;58.45;150.0;3.25;218.0;128.4;0.589;410.7;420.4;617.8;123.2;0.2;409.2;423.4;1006.0;121.7;0.121;356.2;441.5;22.8;18.56;cr1000x;-0.6699999999999999;52.204111572796876;3.579084810578193;0.43297676088207365;1.7560691696139077;2.1765989286483443;8.059226161606125;1.6071490176592338;2.843818878650268;1.6749832294435523;7.396985351175483;7.653674481152737;7.4241004001167425;7.599444383270218;14.185177287359181;30.07420461571518;20.57800000000002;20.580288299312677;47.208140116040894;-1.560414852058993;1683728443;50.35131118113894;217.1236083152737
2023-05-10 14:20:44.951;12;8.57;5.59;-0.0;11.2;193.0;47.208122;-1.560424;4.76;I;;POINT (354996.32701094006 6688613.137816229);4.0;0.020478636370683544;POINT (354998.4739114864 6688614.6500405);2.6260244092926217;17.13;58.45;150.0;3.25;218.0;128.4;0.589;410.7;420.4;617.8;123.2;0.2;409.2;423.4;1006.0;121.7;0.121;356.2;441.5;22.8;18.56;cr1000x;0.951;52.204111572796876;3.579084810578193;0.43297676088207365;1.7560691696139077;2.1765989286483443;8.059226161606125;1.6071490176592338;2.843818878650268;1.6749832294435523;7.396985351175483;7.653674481152737;7.4241004001167425;7.599444383270218;14.185177287359181;30.07420461571518;20.57800000000002;20.580288299312677;47.208136707095804;-1.560396837481399;1683728444;50.347658086517136;217.11530774582675
2023-05-10 14:20:46.804;13;9.71;6.32;-0.0;12.55;196.0;47.208112;-1.560408;5.21;I;;POINT (354997.47197534697 6688611.958986663);4.0;0.02303846591701899;POINT (354999.813371458 6688614.193305818);3.2364050790608285;17.14;58.49;160.0;2.55;216.7;128.0;0.59;410.1;420.5;613.1;124.6;0.203;409.0;422.6;1001.0;121.1;0.121;355.7;440.3;22.6;18.41;cr1000x;0.804;52.015973706536215;3.556681151360546;0.43028380362613594;1.751331726805734;2.1678700008787315;7.987550234062825;1.6233057562619928;2.8231970897429686;1.6676014189529302;7.3837891846115635;7.629313714955615;7.403647786330568;7.591401838946607;14.101654499020718;30.008152524844352;21.821000000000023;22.465542723494135;47.20813329814794;-1.5603788229060884;1683728446;50.34348169794721;217.10582057616375
