"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","FifteenMin"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms","WS_ms_Avg","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Smp","Avg","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-10 11:00:00",0,12.63,20.12,12.65,20.19,20.22,20.21,20.22,19.1,18.95,19.2,52.32,51.96,52.88,49,0.13,0.238,0.03,0.47,0.238,40.11,0,42,0,0,0,0,0,0,0,0,-3.947,-2.717,-3.732,-7.914,19.68,292.8,-1.23,4.182,0.69,-7.679,-10.63,2.952,413.2,409,-2.644,-2.605,-9.5,-5.046,19.74,292.9,-0.039,-4.455,1.043,-12.15,-7.651,-4.494,407.8,412.2,-1.765,-3.513,-8.55,-9.63,19.91,293.1,1.749,1.078,2.087,-10.32,-13.15,2.827,409.7,408.6,16.91,17.23,16.7,17.04,0.161,17.5,18.16,17.09,17.48,0.329
"2023-05-10 11:15:00",1,12.57,19.97,12.6,20.34,20.38,20.19,20.3,16.93,15.58,19.18,60.31,52.15,69.03,28,1.69,0.79,0,2.97,0.79,0.61,0,450,0,0,0,0,0,0,0,0,22.44,11.74,-9.93,-6.731,18.34,291.5,10.71,-3.203,1.032,12.51,5.007,7.502,399.4,402.6,13.81,13.7,-7.246,-8.88,18.3,291.4,0.111,1.63,1.18,6.564,4.823,1.74,401.9,400.2,41.82,4.638,-12.52,-7.071,18.45,291.6,37.18,-5.45,0.457,29.3,-2.433,31.73,397.5,402.9,16.33,17.51,15.52,16.08,0.496,16.4,18.3,15.36,15.82,0.696
"2023-05-10 11:30:00",2,12.58,19.51,12.6,19.87,19.97,19.74,19.9,15.16,14.76,15.79,70.26,67.72,72.86,14,1.38,1.251,0.04,3.42,1.251,7.181,0,450,0,0,0,0,0,0,0,0,39.15,39.94,-3,-0.71,16.47,289.6,-0.787,-2.29,0.58,36.15,39.23,-3.076,395.9,398.2,35.63,30.9,0.565,-1.091,16.37,289.5,4.725,1.656,1.356,36.19,29.81,6.381,399,397.3,105.2,15.14,-11.42,5.063,16.49,289.6,90.1,-16.48,0.458,93.8,20.2,73.61,387.6,404.1,15.91,17.04,14.86,15.62,0.381,15.66,16.43,14.97,15.11,0.305
"2023-05-10 14:15:00",3,12.6,19.79,12.63,20.33,20.27,20.19,20.2,20.67,19.53,21.18,51.72,49.64,56.81,19,3.54,0.459,0.01,4.39,0.459,11.81,0,241,0,0,0,0,0,0,0,0,9.73,35.7,-1.989,-1.118,19.95,293.1,-25.97,-0.871,5.234,7.738,34.58,-26.84,416.5,417.3,10.2,29.53,-1.754,-0.547,19.84,293,-19.33,-1.207,3.145,8.45,28.99,-20.54,416.1,417.3,71.19,7.29,-2.583,1.32,19.32,292.5,63.9,-3.903,-1.156,68.61,8.61,60,412.3,416.2,18.95,20.77,17.12,19.07,0.569,19.51,20.62,17.1,17.6,0.972
"2023-05-10 14:30:00",4,12.58,19.96,12.61,20.78,20.79,20.61,20.68,17.66,17,19.5,56.94,50.9,61.32,135,0.94,2.131,0.08,6.51,2.131,190.5,0,450,0,0,0,0,0,0,0,0,228.3,111.9,-4.98,0.841,19.32,292.5,116.4,-5.821,0.778,223.3,112.8,110.5,409.9,415.7,239.1,153.3,-2.119,-3.09,19.51,292.7,85.8,0.971,1.323,237,150.2,86.7,413.8,412.8,619.6,79.69,-48.46,23.22,19.35,292.5,539.9,-71.68,0.126,571.1,102.9,468.2,366.6,438.2,20.54,25.09,17.56,18.7,1.552,18.74,21.46,17.01,17.94,0.817
