"TOA5","CR1000XSeries","CR1000X","11356","CR1000X.Std.03.02","CPU:Programme_CS_2sec_thermocouple.CR1X","15778","FifteenMin"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","CDM1BattV_Min","CDM1PTempC1","CDM1PTempC2","CDM1PTempC3","CDM1PTempC4","AirTC_Avg","AirTC_Min","AirTC_Max","RH_Avg","RH_Min","RH_Max","WindDir","WS_ms","WS_ms_Avg","WS_ms_Min","WS_ms_Max","WS_ms_S_WVT","WindDir_D1_WVT","WSDiag","SmplsF_Tot","Diag1F_Tot","Diag2F_Tot","Diag4F_Tot","Diag8F_Tot","Diag9F_Tot","Diag10F_Tot","NNDF_Tot","CSEF_Tot","SR01Up_1_Avg","SR01Dn_1_Avg","IR01Up_1_Avg","IR01Dn_1_Avg","NR01TC_1_Avg","NR01TK_1_Avg","NetRs_1_Avg","NetRl_1_Avg","Albedo_1_Avg","UpTot_1_Avg","DnTot_1_Avg","NetTot_1_Avg","IR01UpCo_1_Avg","IR01DnCo_1_Avg","SR01Up_2_Avg","SR01Dn_2_Avg","IR01Up_2_Avg","IR01Dn_2_Avg","NR01TC_2_Avg","NR01TK_2_Avg","NetRs_2_Avg","NetRl_2_Avg","Albedo_2_Avg","UpTot_2_Avg","DnTot_2_Avg","NetTot_2_Avg","IR01UpCo_2_Avg","IR01DnCo_2_Avg","SR01Up_3_Avg","SR01Dn_3_Avg","IR01Up_3_Avg","IR01Dn_3_Avg","NR01TC_3_Avg","NR01TK_3_Avg","NetRs_3_Avg","NetRl_3_Avg","Albedo_3_Avg","UpTot_3_Avg","DnTot_3_Avg","NetTot_3_Avg","IR01UpCo_3_Avg","IR01DnCo_3_Avg","Temp_C_Avg(1)","Temp_C_Max(1)","Temp_C_Min(1)","Temp_C(1)","Temp_C_Std(1)","Temp_C_Avg(2)","Temp_C_Max(2)","Temp_C_Min(2)","Temp_C(2)","Temp_C_Std(2)"
"TS","RN","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","unitless","","","","","","","","","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Avg","Min","Smp","Smp","Smp","Smp","Avg","Min","Max","Avg","Min","Max","Smp","Smp","Avg","Min","Max","WVc","WVc","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Max","Min","Smp","Std"
"2023-05-11 14:30:00",0,12.56,20.14,12.6,20.82,20.78,20.67,20.69,21.77,21.65,21.97,45.95,45.61,46.64,"NAN",0.01,0.025,0,0.12,0.025,302.4,0,200,0,0,0,0,0,0,0,0,0.719,0.152,1.424,0.584,21.29,294.4,0.567,0.84,0.211,2.144,0.736,1.407,427.6,426.8,0.267,0.824,0.979,2.863,21.41,294.6,-0.557,-1.884,3.199,1.246,3.687,-2.441,427.8,429.7,0.535,0.273,0.98,1.137,21.44,294.6,0.262,-0.157,0.511,1.515,1.41,0.105,428,428.2,21.21,21.41,20.72,20.74,0.193,22.33,22.58,22.17,22.29,0.085
"2023-05-11 14:45:00",1,12.57,20.47,12.6,21.15,21.13,21,21.05,20.85,19.96,21.96,42.54,37.14,49.48,344,0.67,0.248,0.01,1.3,0.248,48.49,0,450,0,0,0,0,0,0,0,0,-0.588,2.338,-4.402,-2.65,21.25,294.4,-2.926,-1.752,-2.339,-4.99,-0.312,-4.678,421.5,423.3,-0.199,-0.017,-4.759,-4.845,21.36,294.5,-0.183,0.087,1.447,-4.958,-4.862,-0.096,421.8,421.7,0.842,-0.767,-4.058,-5.661,21.39,294.5,1.608,1.603,0.33,-3.216,-6.427,3.211,422.7,421.1,19.69,21.12,17.52,17.53,0.782,20.29,22.44,17.75,18.02,0.988
"2023-05-11 15:00:00",2,12.57,20.62,12.6,21.17,21.18,21.02,21.09,17.69,17,20.08,46.19,40.03,52.77,2,1.61,0.867,0.03,3.32,0.867,7.311,0,450,0,0,0,0,0,0,0,0,210.6,82.8,-9.76,-4.783,20.01,293.2,127.8,-4.978,0.69,200.8,77.98,122.9,409,414,124.1,83.4,-6.755,-5.372,19.94,293.1,40.67,-1.383,2.252,117.4,78.07,39.29,411.7,413.1,332.4,40.71,-37.92,7.053,19.97,293.1,291.7,-44.97,0.204,294.5,47.77,246.7,380.7,425.6,18.61,22.79,16.07,17.8,1.557,18.03,20.59,15.86,16.59,1.042
"2023-05-11 15:30:00",3,12.57,20.57,12.6,21.05,21.04,20.89,20.95,18.02,16.98,18.67,48.56,40.15,53.28,331,0.89,0.173,0,2.49,0.173,327.9,0,355,0,0,0,0,0,0,0,0,5.821,16.04,-0.671,2.359,19.66,292.8,-10.22,-3.03,3.008,5.15,18.4,-13.25,416.1,419.2,24.8,4.921,3.282,-0.485,19.52,292.7,19.88,3.767,-2.837,28.08,4.436,23.65,419.3,415.5,107,7.268,1.05,3.573,19.71,292.9,99.7,-2.523,0.703,108,10.84,97.2,418.1,420.7,19.32,20.46,16.53,16.57,0.701,19.83,20.71,16.46,16.55,0.814
"2023-05-11 15:45:00",4,12.57,20.55,12.6,21.09,21.08,20.95,21.01,17.05,16.45,18.59,46.56,39.29,56.37,0,1.32,1.137,0.02,3.49,1.137,352.6,0,450,0,0,0,0,0,0,0,0,116.1,93.8,-4.958,-0.121,19.14,292.3,22.24,-4.837,1.336,111.1,93.7,17.41,408.9,413.7,77.05,147,-1.01,0.002,19.03,292.2,-69.92,-1.011,1.645,76.04,147,-70.94,412.2,413.2,288.9,44.9,-38.83,22.06,19.2,292.4,244,-60.89,0.076,250.1,66.96,183.1,375.4,436.3,18.66,21.58,16.61,18.73,1.166,17.61,19.29,16.43,17.53,0.729
