     TIME STAMP	STEP COUNT	     X	     Y	     Z	  Distance	    degree	    latitude	   longitude	    GpsAccuracy	 indoor_outdoor_flag	   TagName

   15:18:12.666	        4	 -0,17	  0,96	 -0,00	      1,39	     33,00	   47,206825	   -1,557511	           5,81	                   I	          
   15:18:14.553	        5	 -0,39	  2,10	 -0,00	      2,55	     18,00	   47,206822	   -1,557513	           5,28	                   I	          
   15:18:16.040	        6	 -0,66	  3,36	 -0,00	      3,84	     27,00	   47,206818	   -1,557516	           5,12	                   I	          
   15:18:17.963	        7	 -0,98	  4,60	 -0,00	      5,12	      7,00	   47,206816	   -1,557523	           5,47	                   I	          
   15:18:19.545	        8	 -1,25	  5,92	 -0,00	      6,47	      6,00	   47,206819	   -1,557533	           6,07	                   I	          
   15:18:20.796	        9	 -1,53	  7,23	 -0,00	      7,81	    355,00	   47,206820	   -1,557541	           6,61	                   I	          
   15:18:22.918	       10	 -1,92	  8,45	 -0,00	      9,09	     26,00	   47,206827	   -1,557562	           7,86	                   I	          
   15:18:24.262	       11	 -2,17	  9,64	 -0,00	     10,30	     26,00	   47,206847	   -1,557591	           9,07	                   I	          
   15:18:26.024	       12	 -2,50	 10,92	 -0,00	     11,62	      8,00	   47,206854	   -1,557600	           9,34	                   I	          
   15:18:28.044	       13	 -2,76	 12,29	 -0,00	     13,02	      4,00	   47,206872	   -1,557636	          10,55	                   I	          
   15:18:29.679	       14	 -3,06	 13,60	 -0,00	     14,37	     24,00	   47,206898	   -1,557696	          11,41	                   I	          
   15:18:31.332	       15	 -3,32	 14,87	 -0,00	     15,66	     34,00	   47,206932	   -1,557755	          11,05	                   I	          
   15:18:33.036	       16	 -3,63	 16,09	 -0,00	     16,92	     25,00	   47,206960	   -1,557773	           9,97	                   I	          
   15:18:34.587	       17	 -3,91	 17,36	 -0,00	     18,22	     23,00	   47,206989	   -1,557785	           7,79	                   I	          
   15:18:36.510	       18	 -4,15	 18,68	 -0,00	     19,56	     11,00	   47,207000	   -1,557792	           6,43	                   I	          
   15:18:37.953	       19	 -4,33	 19,89	  0,10	     20,79	    292,00	   47,207004	   -1,557791	           5,68	                   I	          
   15:18:39.801	       20	 -4,60	 21,23	  0,10	     22,16	     15,00	   47,207014	   -1,557792	           5,37	                   I	          
   15:18:41.636	       21	 -4,81	 22,52	  0,10	     23,47	     32,00	   47,207024	   -1,557802	           5,34	                   I	          
   15:18:43.947	       22	 -5,16	 23,77	  0,10	     24,76	     36,00	   47,207031	   -1,557804	           5,50	                   I	          
   15:18:45.382	       23	 -5,35	 25,13	  0,10	     26,14	     65,00	   47,207034	   -1,557809	           5,57	                   I	          
   15:18:47.537	       24	 -5,56	 26,53	  0,10	     27,55	     44,00	   47,207040	   -1,557818	           5,30	                   I	          
   15:18:48.840	       25	 -5,83	 27,82	  0,10	     28,86	     38,00	   47,207040	   -1,557818	           5,30	                   I	          
   15:18:50.689	       26	 -6,03	 29,03	  0,18	     30,10	    351,00	   47,207050	   -1,557825	           4,92	                   I	          
   15:18:52.397	       27	 -6,12	 30,49	  0,18	     31,55	     16,00	   47,207057	   -1,557828	           4,78	                   I	          
   15:18:54.278	       28	 -6,37	 31,87	  0,18	     32,96	     14,00	   47,207061	   -1,557838	           4,85	                   I	          
   15:18:55.950	       29	 -6,65	 33,20	  0,18	     34,32	     25,00	   47,207065	   -1,557838	           4,89	                   I	          
   15:18:57.755	       30	 -6,90	 34,51	  0,18	     35,65	     19,00	   47,207070	   -1,557837	           4,95	                   I	          
   15:18:59.955	       31	 -7,07	 35,83	  0,18	     36,99	     16,00	   47,207077	   -1,557836	           4,88	                   I	          
   15:19:01.706	       32	 -7,33	 37,19	  0,18	     38,37	      7,00	   47,207078	   -1,557836	           4,87	                   I	          
   15:19:03.142	       33	 -7,58	 38,56	  0,18	     39,76	     29,00	   47,207130	   -1,557674	           5,43	                   I	          
   15:19:05.261	       34	 -7,78	 40,04	  0,18	     41,25	     31,00	   47,207155	   -1,557605	           6,10	                   I	          
   15:19:06.601	       35	 -7,99	 41,15	  0,18	     42,38	     50,00	   47,207161	   -1,557600	           6,75	                   I	          
   15:19:08.417	       36	 -8,15	 41,96	  0,18	     43,21	     40,00	   47,207171	   -1,557595	           7,71	                   I	          
   15:19:15.651	       37	 -8,70	 42,86	  0,18	     44,27	     23,00	   47,207196	   -1,557597	           8,48	                   I	       506
   15:19:18.003	       38	 -9,80	 43,41	  0,18	     45,50	    352,00	   47,207201	   -1,557602	           7,95	                   I	          
   15:19:19.532	       39	-11,02	 43,59	  0,18	     46,74	    264,00	   47,207202	   -1,557611	           7,68	                   I	          
   15:19:21.326	       40	-12,32	 43,61	  0,18	     48,03	    282,00	   47,207205	   -1,557622	           7,66	                   I	          
   15:19:23.668	       41	-13,53	 43,56	  0,18	     49,25	    259,00	   47,207217	   -1,557654	           7,47	                   I	          
   15:19:25.601	       42	-14,79	 43,40	  0,18	     50,51	    222,00	   47,207216	   -1,557646	           7,32	                   I	          
   15:19:26.985	       43	-16,06	 43,14	  0,18	     51,82	    240,00	   47,207217	   -1,557644	           7,33	                   I	          
   15:19:28.927	       44	-17,36	 42,94	  0,18	     53,13	    234,00	   47,207221	   -1,557648	           7,90	                   I	          
   15:19:31.132	       45	-18,57	 42,75	  0,18	     54,36	    297,00	   47,207224	   -1,557661	           8,66	                   I	          
   15:19:32.838	       46	-19,71	 42,38	  0,18	     55,55	    273,00	   47,207227	   -1,557669	           8,84	                   I	          
   15:19:34.605	       47	-20,70	 41,65	  0,18	     56,79	    221,00	   47,207222	   -1,557737	           9,14	                   I	          
   15:19:36.583	       48	-21,23	 40,75	  0,18	     57,83	    166,00	   47,207213	   -1,557783	           8,47	                   I	          
   15:19:38.112	       49	-21,19	 39,58	  0,18	     59,00	    138,00	   47,207203	   -1,557801	           7,54	                   I	          
   15:19:40.000	       50	-20,94	 38,47	  0,10	     60,14	    138,00	   47,207195	   -1,557807	           7,22	                   I	          
   15:19:47.787	       51	-20,74	 37,26	  0,10	     61,37	    167,00	   47,207170	   -1,557798	           6,38	                   I	       507
   15:19:49.770	       52	-20,63	 36,08	  0,01	     62,56	    145,00	   47,207162	   -1,557800	           6,29	                   I	          
   15:19:51.383	       53	-20,47	 34,89	 -0,07	     63,77	    111,00	   47,207153	   -1,557801	           6,32	                   I	          
   15:19:53.552	       54	-20,34	 33,81	 -0,15	     64,86	    200,00	   47,207140	   -1,557792	           6,49	                   I	          
   15:19:55.521	       55	-20,21	 32,71	 -0,23	     65,97	    169,00	   47,207130	   -1,557786	           6,73	                   I	          
   15:19:57.422	       56	-20,17	 31,68	 -0,23	     67,00	    162,00	   47,207122	   -1,557787	           6,90	                   I	          
   15:19:59.443	       57	-19,97	 30,57	 -0,31	     68,12	    176,00	   47,207112	   -1,557780	           7,12	                   I	          
   15:20:01.330	       58	-19,79	 29,45	 -0,38	     69,27	    160,00	   47,207104	   -1,557778	           7,24	                   I	          
   15:20:02.984	       59	-19,68	 28,36	 -0,46	     70,36	    143,00	   47,207100	   -1,557777	           7,30	                   I	          
   15:20:05.190	       60	-19,51	 27,28	 -0,53	     71,46	    130,00	   47,207091	   -1,557774	           7,53	                   I	          
   15:20:06.909	       61	-19,41	 26,10	 -0,53	     72,64	    184,00	   47,207081	   -1,557772	           7,74	                   I	          
   15:20:08.820	       62	-19,28	 24,95	 -0,61	     73,80	    187,00	   47,207071	   -1,557756	           7,99	                   I	          
   15:20:10.686	       63	-19,16	 23,83	 -0,69	     74,93	    175,00	   47,207062	   -1,557738	           8,21	                   I	          
   15:20:12.450	       64	-19,06	 22,73	 -0,69	     76,03	    157,00	   47,207051	   -1,557734	           8,52	                   I	          
   15:20:14.607	       65	-18,93	 21,67	 -0,77	     77,11	    145,00	   47,207041	   -1,557716	           8,62	                   I	          
   15:20:16.359	       66	-18,79	 20,52	 -0,77	     78,26	    157,00	   47,207030	   -1,557716	           8,38	                   I	          
   15:20:18.282	       67	-18,61	 19,48	 -0,86	     79,32	    157,00	   47,207023	   -1,557709	           8,24	                   I	          
   15:20:19.999	       68	-18,56	 18,49	 -0,86	     80,31	    154,00	   47,207019	   -1,557706	           8,22	                   I	          
   15:20:22.073	       69	-18,47	 17,43	 -0,86	     81,38	     37,00	   47,207010	   -1,557706	           8,34	                   I	          
   15:20:23.791	       70	-18,35	 16,31	 -0,86	     82,50	    162,00	   47,207001	   -1,557711	           8,34	                   I	          
   15:20:25.948	       71	-18,19	 15,23	 -0,86	     83,59	    196,00	   47,206988	   -1,557715	           8,31	                   I	          
   15:20:27.567	       72	-18,08	 14,18	 -0,94	     84,65	    176,00	   47,206978	   -1,557719	           8,26	                   I	          
   15:20:29.452	       73	-17,90	 13,03	 -1,04	     85,82	    138,00	   47,206959	   -1,557722	           8,82	                   I	          
   15:20:31.524	       74	-17,75	 11,88	 -1,14	     86,99	    138,00	   47,206949	   -1,557725	           9,06	                   I	          
   15:20:33.280	       75	-17,62	 10,80	 -1,22	     88,08	    146,00	   47,206936	   -1,557729	           9,42	                   I	          
   15:20:35.300	       76	-17,52	  9,99	 -1,22	     88,89	    134,00	   47,206928	   -1,557728	           9,12	                   I	          
   15:20:36.835	       77	-17,40	  8,75	 -1,38	     90,15	    181,00	   47,206921	   -1,557728	           9,05	                   I	          
   15:20:38.906	       78	-17,26	  7,63	 -1,49	     91,29	    110,00	   47,206907	   -1,557731	           8,78	                   I	          
   15:20:40.495	       79	-17,08	  6,42	 -1,57	     92,51	    172,00	   47,206896	   -1,557732	           8,65	                   I	          
   15:20:42.681	       80	-16,86	  5,16	 -1,70	     93,80	    172,00	   47,206883	   -1,557731	           8,71	                   I	          
   15:20:44.423	       81	-16,73	  3,98	 -1,80	     94,99	    150,00	   47,206868	   -1,557723	           8,42	                   I	          
   15:20:46.242	       82	-16,55	  2,81	 -1,91	     96,17	    203,00	   47,206857	   -1,557720	           8,20	                   I	          
   15:20:47.812	       83	-16,39	  1,69	 -1,91	     97,31	    163,00	   47,206853	   -1,557720	           8,13	                   I	          
   15:20:49.888	       84	-16,22	  0,55	 -1,99	     98,46	    122,00	   47,206844	   -1,557720	           8,15	                   I	          
   15:20:51.370	       85	-16,07	 -0,56	 -2,07	     99,59	    133,00	   47,206832	   -1,557719	           8,12	                   I	          
   15:20:53.575	       86	-15,69	 -1,70	 -2,17	    100,79	    104,00	   47,206824	   -1,557720	           8,01	                   I	          
   15:20:55.414	       87	-14,85	 -2,52	 -2,17	    101,96	    110,00	   47,206813	   -1,557716	           7,86	                   I	          
   15:20:57.169	       88	-13,78	 -3,04	 -2,17	    103,16	     91,00	   47,206809	   -1,557710	           7,78	                   I	          
   15:20:59.025	       89	-12,59	 -3,38	 -2,17	    104,40	     97,00	   47,206806	   -1,557690	           7,66	                   I	          
   15:21:00.961	       90	-11,34	 -3,59	 -2,17	    105,66	     71,00	   47,206807	   -1,557667	           7,60	                   I	          
   15:21:02.714	       91	-10,19	 -3,83	 -2,26	    106,84	     74,00	   47,206806	   -1,557648	           7,59	                   I	          
   15:21:04.285	       92	 -9,06	 -3,95	 -2,36	    107,98	     85,00	   47,206810	   -1,557629	           7,55	                   I	          
   15:21:06.489	       93	 -8,00	 -4,14	 -2,44	    109,06	    110,00	   47,206807	   -1,557615	           7,58	                   I	          
   15:21:07.976	       94	 -6,88	 -4,37	 -2,44	    110,21	     86,00	   47,206806	   -1,557602	           7,63	                   I	          
   15:21:09.915	       95	 -5,77	 -4,63	 -2,44	    111,34	    101,00	   47,206808	   -1,557593	           7,70	                   I	          
   15:21:11.938	       96	 -4,67	 -4,81	 -2,52	    112,46	     87,00	   47,206808	   -1,557581	           7,83	                   I	          
   15:21:13.555	       97	 -3,61	 -5,03	 -2,52	    113,54	     96,00	   47,206803	   -1,557560	           7,88	                   I	          
   15:21:15.310	       98	 -2,43	 -5,30	 -2,62	    114,75	    107,00	   47,206797	   -1,557538	           7,99	                   I	          
   15:21:16.933	       99	 -1,34	 -5,52	 -2,70	    115,87	    114,00	   47,206795	   -1,557530	           8,04	                   I	          
   15:21:18.954	      100	 -0,25	 -5,75	 -2,70	    116,99	    115,00	   47,206787	   -1,557507	           8,19	                   I	          
   15:21:20.891	      101	  0,84	 -5,99	 -2,79	    118,11	    104,00	   47,206782	   -1,557489	           8,19	                   I	          
   15:21:22.730	      102	  1,97	 -6,23	 -2,88	    119,26	     84,00	   47,206777	   -1,557474	           8,14	                   I	          
   15:21:24.592	      103	  3,09	 -6,49	 -2,88	    120,42	     74,00	   47,206774	   -1,557472	           8,34	                   I	          
   15:21:26.509	      104	  4,31	 -6,75	 -2,97	    121,67	     84,00	   47,206769	   -1,557457	           8,61	                   I	          
   15:21:27.903	      105	  5,40	 -7,00	 -2,97	    122,78	    107,00	   47,206767	   -1,557444	           8,82	                   I	          
   15:21:30.063	      106	  6,57	 -7,22	 -3,04	    123,98	     75,00	   47,206768	   -1,557424	           8,97	                   I	          
   15:21:31.954	      107	  7,71	 -7,46	 -3,12	    125,14	    105,00	   47,206767	   -1,557414	           8,95	                   I	          
   15:21:33.858	      108	  8,87	 -7,62	 -3,19	    126,32	     64,00	   47,206763	   -1,557388	           8,82	                   I	          
   15:21:35.475	      109	 10,01	 -7,94	 -3,28	    127,50	     86,00	   47,206757	   -1,557366	           8,64	                   I	          
   15:21:37.545	      110	 11,19	 -8,07	 -3,36	    128,69	     80,00	   47,206753	   -1,557346	           8,31	                   I	          
   15:21:39.337	      111	 12,34	 -8,36	 -3,44	    129,88	    113,00	   47,206750	   -1,557320	           7,91	                   I	          
   15:21:40.879	      112	 13,40	 -8,53	 -3,54	    130,96	     83,00	   47,206749	   -1,557312	           7,78	                   I	          
   15:21:42.756	      113	 14,54	 -8,78	 -3,62	    132,13	    100,00	   47,206748	   -1,557296	           7,62	                   I	          
   15:21:44.747	      114	 15,69	 -9,00	 -3,72	    133,31	    122,00	   47,206750	   -1,557284	           7,45	                   I	          
   15:21:46.765	      115	 16,77	 -9,24	 -3,72	    134,41	    111,00	   47,206748	   -1,557273	           7,34	                   I	          
   15:21:48.572	      116	 17,78	 -9,46	 -3,72	    135,45	     91,00	   47,206744	   -1,557257	           7,24	                   I	          
   15:21:50.380	      117	 18,88	 -9,62	 -3,72	    136,56	     82,00	   47,206744	   -1,557242	           7,23	                   I	          
   15:21:52.384	      118	 19,97	 -9,76	 -3,79	    137,66	    137,00	   47,206741	   -1,557233	           7,25	                   I	          
   15:21:54.055	      119	 21,15	-10,03	 -3,87	    138,87	    106,00	   47,206737	   -1,557216	           7,34	                   I	          
   15:21:56.034	      120	 22,28	-10,34	 -3,97	    140,05	     77,00	   47,206728	   -1,557190	           7,49	                   I	          
   15:21:57.653	      121	 23,48	-10,61	 -3,97	    141,27	    126,00	   47,206722	   -1,557185	           7,64	                   I	          
   15:21:59.535	      122	 24,61	-10,91	 -4,05	    142,45	    112,00	   47,206721	   -1,557162	           7,74	                   I	          
   15:22:01.243	      123	 25,77	-11,08	 -4,14	    143,63	     73,00	   47,206717	   -1,557150	           7,83	                   I	          
   15:22:03.239	      124	 26,92	-11,26	 -4,22	    144,79	     99,00	   47,206713	   -1,557131	           7,97	                   I	          
   15:22:05.125	      125	 27,87	-11,38	 -4,22	    145,74	    106,00	   47,206713	   -1,557112	           8,01	                   I	          
   15:22:16.603	      126	 28,75	-11,53	 -4,30	    146,65	     96,00	   47,206708	   -1,557099	           7,47	                   I	       508
   15:22:18.758	      127	 29,71	-11,78	 -4,30	    147,64	    131,00	   47,206703	   -1,557099	           7,45	                   I	          
   15:22:20.611	      128	 30,71	-12,36	 -4,30	    148,80	    109,00	   47,206696	   -1,557096	           7,62	                   I	          
   15:22:22.947	      129	 31,67	-12,97	 -4,22	    149,94	    117,00	   47,206690	   -1,557103	           7,83	                   I	          
   15:22:24.518	      130	 32,71	-13,65	 -4,22	    151,18	    122,00	   47,206685	   -1,557096	           7,97	                   I	          
   15:22:26.236	      131	 33,76	-14,43	 -4,22	    152,48	    136,00	   47,206679	   -1,557092	           8,02	                   I	          
   15:22:28.123	      132	 34,79	-14,98	 -4,22	    153,66	    131,00	   47,206677	   -1,557092	           8,11	                   I	          
   15:22:30.414	      133	 35,65	-15,53	 -4,22	    154,68	    115,00	   47,206671	   -1,557080	           8,48	                   I	          
   15:22:31.761	      134	 36,80	-16,02	 -4,22	    155,93	    100,00	   47,206669	   -1,557076	           8,54	                   I	          
   15:22:34.237	      135	 37,98	-16,17	 -4,22	    157,11	     79,00	   47,206673	   -1,557046	           8,71	                   I	          
   15:22:35.681	      136	 39,06	-16,25	 -4,22	    158,20	     96,00	   47,206675	   -1,557034	           8,76	                   I	          
   15:22:38.196	      137	 40,28	-16,33	 -4,22	    159,42	     72,00	   47,206676	   -1,557012	           8,95	                   I	          
   15:22:39.862	      138	 41,31	-15,89	 -4,22	    160,54	     48,00	   47,206703	   -1,556961	           9,14	                   I	          
   15:22:41.749	      139	 40,75	-14,72	 -4,22	    161,85	    326,00	   47,206713	   -1,556940	           8,97	                   I	          
   15:22:43.618	      140	 39,78	-14,02	 -4,22	    163,04	    195,00	   47,206714	   -1,556865	           8,83	                   I	          
   15:22:45.860	      141	 39,09	-13,65	 -4,22	    163,83	    359,00	   47,206715	   -1,556815	           6,98	                   I	          
   15:22:47.795	      142	 38,20	-12,79	 -4,22	    165,06	    333,00	   47,206716	   -1,556796	           5,37	                   I	          
   15:22:49.364	      143	 37,06	-12,15	 -4,22	    166,37	     84,00	   47,206719	   -1,556770	           5,29	                   I	          
   15:22:51.153	      144	 35,86	-11,48	 -4,22	    167,74	     20,00	   47,206722	   -1,556758	           5,39	                   I	          
   15:22:52.955	      145	 34,69	-10,94	 -4,22	    169,04	    315,00	   47,206727	   -1,556744	           5,29	                   I	          
   15:22:54.706	      146	 33,58	-10,34	 -4,22	    170,29	    333,00	   47,206728	   -1,556745	           4,88	                   I	          
   15:22:56.659	      147	 32,58	 -9,79	 -4,22	    171,44	     91,00	   47,206724	   -1,556754	           5,62	                   I	          
   15:22:58.630	      148	 31,90	 -9,02	 -4,22	    172,46	    352,00	   47,206716	   -1,556767	           6,43	                   I	          
   15:23:00.297	      149	 31,75	 -8,33	 -4,22	    173,17	      9,00	   47,206707	   -1,556790	           6,74	                   I	          
   15:23:15.376	      150	 31,68	 -7,34	 -4,22	    174,17	     62,00	   47,206678	   -1,556947	           6,60	                   I	       509
   15:23:17.436	      151	 31,13	 -6,25	 -4,22	    175,40	    357,00	   47,206682	   -1,556941	           7,28	                   I	          
   15:23:19.606	      152	 30,61	 -5,11	 -4,22	    176,64	     41,00	   47,206685	   -1,556930	           8,00	                   I	          
   15:23:21.577	      153	 30,20	 -4,13	 -4,22	    177,71	     13,00	   47,206687	   -1,556916	           8,00	                   I	          
   15:23:23.479	      154	 29,97	 -3,02	 -4,22	    178,85	     19,00	   47,206688	   -1,556902	           8,00	                   I	          
   15:23:25.410	      155	 29,89	 -1,76	 -4,22	    180,10	     33,00	   47,206687	   -1,556876	           8,00	                   I	          
   15:23:27.525	      156	 29,76	 -0,50	 -4,22	    181,37	     46,00	   47,206686	   -1,556866	           8,00	                   I	          
   15:23:29.188	      157	 29,71	  0,75	 -4,22	    182,63	     36,00	   47,206685	   -1,556860	          10,29	                   I	          
   15:23:31.028	      158	 29,65	  1,99	 -4,22	    183,87	     61,00	   47,206681	   -1,556878	          11,87	                   I	          
   15:23:32.828	      159	 29,56	  3,27	 -4,22	    185,15	     63,00	   47,206679	   -1,556892	          12,20	                   I	          
   15:23:34.764	      160	 29,46	  4,51	 -4,22	    186,39	     41,00	   47,206677	   -1,556904	           9,94	                   I	          
   15:23:36.752	      161	 29,39	  5,84	 -4,22	    187,72	     38,00	   47,206676	   -1,556923	           8,00	                   I	          
   15:23:38.545	      162	 29,28	  7,06	 -4,22	    188,95	     43,00	   47,206683	   -1,556944	          11,87	                   I	          
   15:23:40.392	      163	 29,14	  8,19	 -4,22	    190,09	     36,00	   47,206683	   -1,556944	          11,87	                   I	          
   15:23:42.329	      164	 28,96	  9,30	 -4,22	    191,21	     29,00	   47,206704	   -1,556935	          34,24	                   I	          
   15:23:44.263	      165	 28,90	 10,31	 -4,22	    192,22	     34,00	   47,206720	   -1,556917	          27,42	                   I	          
   15:23:46.418	      166	 28,78	 11,47	 -4,22	    193,39	     41,00	   47,206736	   -1,556908	          15,47	                   I	          
   15:23:48.354	      167	 28,70	 12,58	 -4,22	    194,51	    103,00	   47,206744	   -1,556903	          12,00	                   I	          
   15:23:50.511	      168	 28,19	 13,64	 -4,22	    195,68	     63,00	   47,206751	   -1,556899	          13,34	                   I	          
   15:23:52.099	      169	 27,02	 13,92	 -4,22	    196,88	     80,00	   47,206772	   -1,556888	          18,10	                   I	          
   15:23:54.155	      170	 25,86	 13,98	 -4,22	    198,05	    282,00	   47,206786	   -1,556884	          17,59	                   I	          
   15:23:55.869	      171	 24,65	 14,37	 -4,22	    199,31	    219,00	   47,206789	   -1,556884	          15,73	                   I	          
   15:23:58.255	      172	 23,48	 14,82	 -4,22	    200,56	    344,00	   47,206789	   -1,556884	          15,73	                   I	          
   15:24:00.096	      173	 22,47	 15,21	 -4,22	    201,66	    239,00	   47,206793	   -1,556884	          64,43	                   I	          
   15:24:04.385	      174	 22,15	 15,43	 -4,22	    202,04	    238,00	   47,206876	   -1,556970	          55,06	                   I	          
   15:24:17.876	      175	 21,19	 15,22	 -4,22	    203,03	    190,00	   47,206820	   -1,557961	          36,56	                   I	          
   15:24:20.126	      176	 20,45	 14,64	 -4,22	    203,98	    203,00	   47,206807	   -1,558008	          33,39	                   I	          
   15:24:22.101	      177	 20,12	 14,21	 -4,22	    204,52	    196,00	   47,206807	   -1,558008	          33,39	                   I	          
   15:27:33.845	      178	  0,00	 -0,00	 -0,00	      0,00	    183,00	   47,207036	   -1,557167	          22,93	                   I	       510
   15:27:38.636	      179	  0,37	 -0,03	 -0,00	      0,38	    267,00	   47,206996	   -1,556929	          18,97	                   I	          
   15:27:40.327	      180	  1,61	 -0,12	 -0,00	      1,62	    312,00	   47,206996	   -1,556929	          18,97	                   I	          
